z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.7026015,-0.2984153,0.2757792
1.408163,-0.7585072,-0.2374634,0.4498262
2.112245,-0.7150308,-0.1122655,0.572818
2.816327,-0.6223988,-0.00462934,0.6722865
3.520408,-0.4076575,0.02805219,0.704317
4.22449,0.2341759,0.1979779,0.607255
4.928571,1.634393,1.179546,0.4130776
5.632653,2.884432,2.480572,0.2400752
6.336735,3.439985,3.062599,0.146091
7.040816,3.660838,3.282299,0.08906293
7.744898,3.752516,3.41364,0.05115729
8.44898,3.788959,3.516104,0.03046394
9.153061,3.802032,3.599402,0.02326216
9.857143,3.807061,3.666435,0.02410187
10.56122,3.810607,3.720329,0.02894311
11.26531,3.815325,3.764058,0.03503897
11.96939,3.822081,3.800313,0.04107799
12.67347,3.831037,3.83101,0.04640702
13.37755,3.842136,3.85769,0.05086887
14.08163,3.854655,3.880893,0.05433287
14.78571,3.866964,3.899721,0.05670601
15.4898,3.883222,3.921162,0.05875605
16.19388,3.898864,3.939181,0.05989894
16.89796,3.914758,3.956084,0.06035043
17.60204,3.930638,3.971915,0.06068765
18.30612,3.946604,3.987169,0.06063256
19.0102,3.962403,4.001611,0.06019754
19.71429,3.977936,4.015668,0.0597767
20.41837,3.993018,4.029149,0.05913259
21.12245,4.007517,4.041861,0.05846273
21.82653,4.020471,4.053156,0.0578414
22.53061,4.034744,4.065623,0.05715601
23.23469,4.047753,4.076772,0.05646461
23.93878,4.060897,4.08812,0.05549602
24.64286,4.072775,4.098462,0.05491057
25.34694,4.084248,4.108301,0.05429256
26.05102,4.095242,4.117792,0.05363053
26.7551,4.105316,4.126523,0.0531964
27.45918,4.115095,4.134929,0.05273139
28.16327,4.124311,4.142897,0.05223729
28.86735,4.13257,4.150065,0.05191809
29.57143,4.14056,4.156957,0.05158987
30.27551,4.148,4.163398,0.05127412
30.97959,4.154523,4.169088,0.05097899
31.68367,4.160721,4.174466,0.05061809
32.38776,4.166514,4.179505,0.05017993
33.09184,4.171397,4.183794,0.04971171
33.79592,4.175758,4.187598,0.04924912
34.5,4.179906,4.191216,0.04879003
