z,p,k,epsilon
0,3.739383,0.5454042,3.481948
0.7040816,3.66361,0.9709229,0.3245055
1.408163,3.618994,1.140616,0.2902701
2.112245,3.821133,1.233034,0.2688017
2.816327,4.105821,1.360881,0.268721
3.520408,4.161586,1.493077,0.2731908
4.22449,3.659182,1.589247,0.2719384
4.928571,2.515189,1.537287,0.2307935
5.632653,1.302145,1.33109,0.1574667
6.336735,0.5024836,1.100278,0.09932617
7.040816,0.00690352,0.9013736,0.06171258
7.744898,-0.1879783,0.7590387,0.0410077
8.44898,-0.2955418,0.6606104,0.02931383
9.153061,-0.3432343,0.5939499,0.02243647
9.857143,-0.3599481,0.5490205,0.01817392
10.56122,-0.3596103,0.517907,0.0153285
11.26531,-0.3501888,0.4957022,0.0133126
11.96939,-0.3355917,0.4793349,0.01181475
12.67347,-0.3191272,0.4669407,0.01065666
13.37755,-0.301939,0.4572479,0.009727528
14.08163,-0.2853448,0.4495961,0.008974522
14.78571,-0.2691207,0.4437159,0.00838492
15.4898,-0.2530621,0.4379783,0.007799853
16.19388,-0.2367201,0.4334374,0.00732997
16.89796,-0.2242411,0.429529,0.006920546
17.60204,-0.2096412,0.4259951,0.006554078
18.30612,-0.1972918,0.4228171,0.006226769
19.0102,-0.1855336,0.4199632,0.005935551
19.71429,-0.1736058,0.4173159,0.005671552
20.41837,-0.1635663,0.4148425,0.005430029
21.12245,-0.1529596,0.412504,0.005208762
21.82653,-0.1449841,0.4106737,0.005039893
22.53061,-0.1340805,0.408283,0.004828916
23.23469,-0.1257997,0.4061398,0.004645826
23.93878,-0.1168457,0.4041576,0.004483438
24.64286,-0.1089797,0.4023104,0.00433713
25.34694,-0.1020931,0.400494,0.004198082
26.05102,-0.094297,0.398719,0.004068931
26.7551,-0.08759158,0.3970544,0.00395175
27.45918,-0.08143178,0.3954171,0.003839379
28.16327,-0.0745376,0.393841,0.003736413
28.86735,-0.0685924,0.3923709,0.003643072
29.57143,-0.06308709,0.3909361,0.003553824
30.27551,-0.05710823,0.3895766,0.003472626
30.97959,-0.0517148,0.3883283,0.003399743
31.68367,-0.04663785,0.3871371,0.003331468
32.38776,-0.04108551,0.3860218,0.003269246
33.09184,-0.03598708,0.3850232,0.003214504
33.79592,-0.03162672,0.3841228,0.003165975
34.5,-0.02725188,0.3832793,0.003121056
