z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.8512999,0.123898,0.09047466
1.408163,-0.8494297,0.1235521,0.1632915
2.112245,-0.7887248,0.1321949,0.231537
2.816327,-0.6912342,0.1358265,0.2901842
3.520408,-0.5289752,0.1378056,0.3264217
4.22449,-0.2740733,0.133671,0.326345
4.928571,0.09325969,0.1083905,0.2741681
5.632653,0.9456281,0.007636418,0.07742608
6.336735,3.416392,0.03589681,-0.1532522
7.040816,3.976829,0.008524123,-0.1889143
7.744898,4.366778,-0.01183299,-0.2046329
8.44898,4.652607,-0.01868443,-0.1980587
9.153061,4.850155,-0.01944851,-0.1827386
9.857143,4.984995,-0.01820096,-0.1646229
10.56122,5.081453,-0.01629165,-0.1466772
11.26531,5.155383,-0.01430234,-0.1299117
11.96939,5.215954,-0.01241948,-0.1145664
12.67347,5.267939,-0.01073096,-0.1006312
13.37755,5.314429,-0.009252651,-0.08792
14.08163,5.355875,-0.00799428,-0.07665381
14.78571,5.389851,-0.006975612,-0.06761598
15.4898,5.430369,-0.005925513,-0.05705046
16.19388,5.4641,-0.005098132,-0.04887052
16.89796,5.495587,-0.004347029,-0.04153891
17.60204,5.525141,-0.003754826,-0.03492976
18.30612,5.553301,-0.003178559,-0.02896886
19.0102,5.579813,-0.002813638,-0.0237758
19.71429,5.605177,-0.002424331,-0.01906057
20.41837,5.629041,-0.002074979,-0.01480297
21.12245,5.651508,-0.001825043,-0.01099407
21.82653,5.670923,-0.001588161,-0.007860025
22.53061,5.693301,-0.001319492,-0.004560139
23.23469,5.712575,-0.001185943,-0.001621115
23.93878,5.73097,-0.001037371,0.001057398
24.64286,5.748023,-0.000877962,0.003199978
25.34694,5.764422,-0.0007906538,0.005456464
26.05102,5.779748,-0.0006881955,0.007417879
26.7551,5.793918,-0.0005912292,0.00920331
27.45918,5.807592,-0.0005317291,0.01104774
28.16327,5.82017,-0.0004598213,0.01263429
28.86735,5.831662,-0.0003928067,0.01412012
29.57143,5.842689,-0.0003501913,0.01564368
30.27551,5.852713,-0.0002993812,0.01698336
30.97959,5.861706,-0.000245901,0.01824859
31.68367,5.870145,-0.0002136264,0.01955873
32.38776,5.877796,-0.00017778,0.02078526
33.09184,5.884474,-0.0001297744,0.02187835
33.79592,5.890396,-0.0001035556,0.02293436
34.5,5.895867,-7.439385e-05,0.02390484
