z,p,k,epsilon
3.643405e-18,-3.489265,0.2881967,1.336131
0.7040816,-3.486396,0.9069832,0.3459808
1.408163,-3.535905,1.249213,0.4786613
2.112245,-3.535931,1.464685,0.6271137
2.816327,-3.439204,1.492669,0.7131895
3.520408,-3.232148,1.305519,0.6258536
4.22449,-2.939829,1.068548,0.4167408
4.928571,-2.663291,0.9495469,0.2673476
5.632653,-2.442888,0.8849257,0.1788666
6.336735,-2.248278,0.8191302,0.1179126
7.040816,-2.077446,0.7527193,0.07887079
7.744898,-1.918956,0.6912425,0.0541598
8.44898,-1.770649,0.6379565,0.03860113
9.153061,-1.631967,0.5938512,0.02880043
9.857143,-1.502581,0.5578379,0.02240405
10.56122,-1.382441,0.5288823,0.01812229
11.26531,-1.271447,0.5057958,0.01517072
11.96939,-1.169174,0.4873938,0.01305699
12.67347,-1.075085,0.4726706,0.01148968
13.37755,-0.988331,0.4608959,0.01029343
14.08163,-0.9103755,0.4515601,0.009367258
14.78571,-0.8394726,0.4440172,0.00862611
15.4898,-0.7729083,0.437707,0.008004943
16.19388,-0.7134313,0.4325799,0.007483985
16.89796,-0.6584781,0.428021,0.007029453
17.60204,-0.6094787,0.4241843,0.006637207
18.30612,-0.563238,0.4206622,0.006283604
19.0102,-0.5223099,0.4176134,0.005979871
19.71429,-0.4853521,0.4148633,0.005705642
20.41837,-0.450568,0.4122571,0.00545396
21.12245,-0.4198233,0.4099229,0.005231261
21.82653,-0.3955671,0.4080307,0.005057152
22.53061,-0.367605,0.4057592,0.004856754
23.23469,-0.3402503,0.4035226,0.004665218
23.93878,-0.3141046,0.401366,0.004482686
24.64286,-0.2939345,0.3995264,0.004338937
25.34694,-0.2741836,0.3976885,0.004197842
26.05102,-0.2555918,0.3958931,0.004062975
26.7551,-0.2394611,0.3942606,0.003949001
27.45918,-0.2236502,0.3926225,0.003835742
28.16327,-0.2086763,0.3910334,0.003728372
28.86735,-0.1955128,0.3896185,0.003638632
29.57143,-0.1825269,0.3881977,0.003549167
30.27551,-0.1701122,0.386824,0.003464244
30.97959,-0.1589672,0.3856511,0.003395194
31.68367,-0.1478354,0.3844848,0.003327074
32.38776,-0.1368333,0.3833487,0.003261428
33.09184,-0.1261672,0.382441,0.00321068
33.79592,-0.1154782,0.3815726,0.003162504
34.5,-0.1049147,0.3806976,0.003114209
