z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.7092273,-0.3105279,0.2846807
1.408163,-0.7669176,-0.2501189,0.4624674
2.112245,-0.7215459,-0.1264359,0.586707
2.816327,-0.6224678,-0.01972768,0.6843687
3.520408,-0.3924473,0.01744438,0.7121043
4.22449,0.2790344,0.2121376,0.6075941
4.928571,1.715017,1.26129,0.406764
5.632653,2.921779,2.501902,0.2348768
6.336735,3.459708,3.059685,0.1417451
7.040816,3.671604,3.273001,0.08423195
7.744898,3.759253,3.404215,0.04678081
8.44898,3.793828,3.5073,0.02663703
9.153061,3.805991,3.591214,0.01973952
9.857143,3.810447,3.658859,0.02066944
10.56122,3.813515,3.713364,0.0255118
11.26531,3.8178,3.757685,0.0316006
11.96939,3.824173,3.794502,0.03765801
12.67347,3.832803,3.82572,0.04303772
13.37755,3.843628,3.852879,0.04758286
14.08163,3.855924,3.876504,0.05115174
14.78571,3.868068,3.895666,0.05363233
15.4898,3.88415,3.917486,0.05583452
16.19388,3.899655,3.935804,0.05712051
16.89796,3.915429,3.952976,0.05770821
17.60204,3.931204,3.969053,0.05818395
18.30612,3.947074,3.984527,0.05826058
19.0102,3.962792,3.999156,0.05795378
19.71429,3.978252,4.01338,0.05765039
20.41837,3.993271,4.027003,0.05711634
21.12245,4.007712,4.039832,0.05655328
21.82653,4.020621,4.051216,0.05601757
22.53061,4.03485,4.063768,0.05541067
23.23469,4.047821,4.07499,0.05480161
23.93878,4.060925,4.086409,0.05391293
24.64286,4.072771,4.096801,0.05339055
25.34694,4.084215,4.106691,0.05283983
26.05102,4.09518,4.116225,0.05223368
26.7551,4.10523,4.124986,0.05184853
27.45918,4.114988,4.133421,0.05143493
28.16327,4.124181,4.141411,0.05098356
28.86735,4.132418,4.148584,0.05070608
29.57143,4.140388,4.155479,0.05042116
30.27551,4.147804,4.161915,0.05014382
30.97959,4.154296,4.167578,0.04991449
31.68367,4.160464,4.172926,0.04963146
32.38776,4.166219,4.177925,0.04928409
33.09184,4.171057,4.182167,0.04893976
33.79592,4.175383,4.185933,0.04858881
34.5,4.179497,4.189519,0.04823511
