z,p,k,epsilon
0,3.512497,0.2999268,1.419775
0.7040816,3.502091,0.5817678,0.1628631
1.408163,3.544614,0.6625403,0.135253
2.112245,3.695827,0.7029984,0.1138384
2.816327,3.855873,0.7528234,0.1024105
3.520408,3.909826,0.7968009,0.09371009
4.22449,3.757424,0.8248324,0.08502615
4.928571,3.309854,0.8122129,0.0718788
5.632653,2.684213,0.7590652,0.05584464
6.336735,2.085181,0.6984163,0.04292755
7.040816,1.520368,0.6430402,0.03346098
7.744898,1.129421,0.5987021,0.0268689
8.44898,0.8177617,0.5639972,0.02220808
9.153061,0.5868813,0.5370181,0.01882578
9.857143,0.4164077,0.5160739,0.01631347
10.56122,0.2902458,0.4995349,0.01438435
11.26531,0.1962319,0.4862561,0.01286285
11.96939,0.125727,0.4754024,0.01163671
12.67347,0.07201746,0.4664178,0.01062913
13.37755,0.03057757,0.4588339,0.009782979
14.08163,-0.001723103,0.4524541,0.00907397
14.78571,-0.02473518,0.4472852,0.008505068
15.4898,-0.04379255,0.4420247,0.00793054
16.19388,-0.05799361,0.4376633,0.007461402
16.89796,-0.07027177,0.4338074,0.007049024
17.60204,-0.07834715,0.4302124,0.006676421
18.30612,-0.08501504,0.4269194,0.006341979
19.0102,-0.0886956,0.4239088,0.00604299
19.71429,-0.09136394,0.4210669,0.005770804
20.41837,-0.09373477,0.418406,0.005521716
21.12245,-0.09435583,0.4158643,0.005292948
21.82653,-0.09425204,0.4138708,0.005118315
22.53061,-0.09326743,0.41134,0.004907066
23.23469,-0.09366907,0.408921,0.00471095
23.93878,-0.09133235,0.4067381,0.004542716
24.64286,-0.08719457,0.4047022,0.00439101
25.34694,-0.0858277,0.4027184,0.00424739
26.05102,-0.08321975,0.4007727,0.004113906
26.7551,-0.07890407,0.3989468,0.003992638
27.45918,-0.07685271,0.3971621,0.003876629
28.16327,-0.07348497,0.3954383,0.003770159
28.86735,-0.06909398,0.3938338,0.003673657
29.57143,-0.06645019,0.392273,0.003581512
30.27551,-0.06285975,0.3907907,0.003497589
30.97959,-0.05848745,0.3894329,0.003422265
31.68367,-0.0553419,0.3881385,0.00335174
32.38776,-0.05180351,0.386925,0.003287432
33.09184,-0.04747819,0.3858398,0.003230822
33.79592,-0.04385365,0.3848626,0.003180652
34.5,-0.0402652,0.3839466,0.003134193
