z,p,k,epsilon
0,-2.001314,0.526529,3.302295
0.7040816,-2.048898,0.2588678,0.1518685
1.408163,-2.052772,0.3784414,0.2772788
2.112245,-1.966793,0.4238812,0.2876924
2.816327,-1.995017,0.4258257,0.3696245
3.520408,-2.015427,0.4296804,0.651119
4.22449,-1.818004,0.5424445,0.126941
4.928571,-1.667411,0.5667405,0.06947929
5.632653,-1.536343,0.5631575,0.04997953
6.336735,-1.425836,0.5522791,0.03868223
7.040816,-1.329657,0.5390374,0.03115772
7.744898,-1.245036,0.5253779,0.02577947
8.44898,-1.169043,0.5120612,0.02176859
9.153061,-1.099352,0.4994797,0.01869473
9.857143,-1.034504,0.4878443,0.01629011
10.56122,-0.9735408,0.4772661,0.01438078
11.26531,-0.9162281,0.4678121,0.01284741
11.96939,-0.8620528,0.4594242,0.01159392
12.67347,-0.8108254,0.4520325,0.01055728
13.37755,-0.7619771,0.4454979,0.009684802
14.08163,-0.7165819,0.4398491,0.008957475
14.78571,-0.6744457,0.4349869,0.008349029
15.4898,-0.6322387,0.4304679,0.007797378
16.19388,-0.5935879,0.426511,0.007325903
16.89796,-0.5573002,0.4229419,0.006909843
17.60204,-0.5234057,0.4197103,0.006539518
18.30612,-0.491205,0.4167184,0.006204954
19.0102,-0.4618298,0.4140289,0.005913816
19.71429,-0.4341184,0.411492,0.005647065
20.41837,-0.4078982,0.4090923,0.005402745
21.12245,-0.3833825,0.4068255,0.005178667
21.82653,-0.360707,0.4047016,0.004977721
22.53061,-0.3403731,0.4027445,0.004803543
23.23469,-0.3201751,0.400771,0.00463093
23.93878,-0.2986886,0.398705,0.004450716
24.64286,-0.2818773,0.3969295,0.004311705
25.34694,-0.2650815,0.3951552,0.004172889
26.05102,-0.2486144,0.3934071,0.004038595
26.7551,-0.234766,0.3918203,0.003927117
27.45918,-0.2209177,0.3902336,0.003815639
28.16327,-0.2073859,0.3886859,0.00370906
28.86735,-0.1957063,0.3873087,0.003621019
29.57143,-0.1840267,0.3859314,0.003532977
30.27551,-0.1724099,0.3845872,0.00344812
30.97959,-0.1621791,0.3834569,0.003381107
31.68367,-0.1519482,0.3823267,0.003314093
32.38776,-0.1415745,0.3811972,0.003247341
33.09184,-0.1318514,0.3803474,0.003199484
33.79592,-0.1221444,0.3795052,0.003152099
34.5,-0.1123913,0.378662,0.003104691
