z,U_0,U_1,U_2
3.634247e-18,8.317276e-17,-1.722919e-18,1.032849e-19
0.7040816,2.396287,0.04041685,0.0730175
1.408163,2.910444,0.250906,0.1374637
2.112245,3.264099,0.4815909,0.2198813
2.816327,3.527976,0.7178447,0.3116362
3.520408,3.738065,0.9566187,0.3830298
4.22449,3.913776,1.171402,0.4101618
4.928571,4.060311,1.339209,0.4075119
5.632653,4.187916,1.475211,0.3909059
6.336735,4.295838,1.582458,0.3690797
7.040816,4.389813,1.670483,0.3442154
7.744898,4.472639,1.743618,0.3180072
8.44898,4.546432,1.804765,0.2916133
9.153061,4.612842,1.856056,0.2657678
9.857143,4.67303,1.899182,0.2412758
10.56122,4.7279,1.935561,0.2186048
11.26531,4.778212,1.966419,0.1979583
11.96939,4.824663,1.992922,0.1793796
12.67347,4.867738,2.015963,0.1628496
13.37755,4.90819,2.036307,0.1480836
14.08163,4.945354,2.054102,0.1352842
14.78571,4.976695,2.068517,0.1251278
15.4898,5.013638,2.084838,0.1138093
16.19388,5.044953,2.098287,0.1051388
16.89796,5.074411,2.110717,0.09757163
17.60204,5.102215,2.122273,0.09082039
18.30612,5.128767,2.133081,0.08490554
19.0102,5.153729,2.143164,0.07976658
19.71429,5.177646,2.152794,0.07522884
20.41837,5.200301,2.161869,0.07121001
21.12245,5.2216,2.170323,0.06764758
21.82653,5.240264,2.177704,0.06483197
22.53061,5.260617,2.185874,0.06201574
23.23469,5.278885,2.193106,0.05956765
23.93878,5.297237,2.200344,0.05721281
24.64286,5.313447,2.206753,0.05566916
25.34694,5.329076,2.212934,0.05403167
26.05102,5.343938,2.218852,0.05255764
26.7551,5.357412,2.224165,0.05156938
27.45918,5.370493,2.229332,0.05051367
28.16327,5.38274,2.234189,0.04960084
28.86735,5.393652,2.238458,0.04903115
29.57143,5.404215,2.242597,0.04841384
30.27551,5.413997,2.246429,0.0478913
30.97959,5.422506,2.249705,0.04764605
31.68367,5.430579,2.252815,0.04736644
32.38776,5.43806,2.255685,0.04711677
33.09184,5.444331,2.258026,0.04709914
33.79592,5.449949,2.260103,0.04703804
34.5,5.455275,2.262058,0.04697583
