z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.1184395,0.4103799,0.3123572
1.408163,-0.4567979,0.3373391,0.3594061
2.112245,-0.4462537,0.3810939,0.4416415
2.816327,-0.2515964,0.4392153,0.5247843
3.520408,0.602368,0.5678849,0.5233451
4.22449,2.587485,1.197456,0.5219548
4.928571,3.817765,1.711987,0.4721284
5.632653,4.276965,1.824339,0.4168698
6.336735,4.50184,1.854382,0.3717111
7.040816,4.6341,1.876914,0.3255272
7.744898,4.719213,1.901983,0.2816013
8.44898,4.778183,1.928828,0.242775
9.153061,4.822074,1.955703,0.2100505
9.857143,4.857268,1.981089,0.1831525
10.56122,4.887508,2.00432,0.1613777
11.26531,4.915035,2.025145,0.1437222
11.96939,4.941158,2.043752,0.1293265
12.67347,4.966573,2.060384,0.1175017
13.37755,4.991758,2.075445,0.1076342
14.08163,5.016178,2.088866,0.09949116
14.78571,5.037817,2.099908,0.09323876
15.4898,5.064322,2.112623,0.08641766
16.19388,5.088061,2.123346,0.08123899
16.89796,5.111341,2.133261,0.0765629
17.60204,5.133828,2.142626,0.07269349
18.30612,5.155927,2.151614,0.06907152
19.0102,5.177333,2.15999,0.06598546
19.71429,5.19818,2.168143,0.06323438
20.41837,5.21829,2.175862,0.06066454
21.12245,5.237417,2.183118,0.05843143
21.82653,5.254414,2.189584,0.05660596
22.53061,5.273213,2.196673,0.05476323
23.23469,5.290103,2.203028,0.05331583
23.93878,5.307299,2.209325,0.05153943
24.64286,5.322691,2.21513,0.05042351
25.34694,5.337472,2.220636,0.0494258
26.05102,5.351743,2.225838,0.04833314
26.7551,5.364721,2.230684,0.0476554
27.45918,5.377281,2.235335,0.04702807
28.16327,5.389192,2.23967,0.04633418
28.86735,5.399785,2.243605,0.04595207
29.57143,5.41001,2.247374,0.04560594
30.27551,5.419569,2.250837,0.04522761
30.97959,5.427857,2.253903,0.04507146
31.68367,5.435695,2.256775,0.04493832
32.38776,5.443012,2.259403,0.0447651
33.09184,5.449104,2.26165,0.04474744
33.79592,5.454523,2.263618,0.04474058
34.5,5.459682,2.265469,0.04471011
