z,p,k,epsilon
0,-1.671137,0.8245592,6.473428
0.7040816,-1.680868,0.5855532,0.2000038
1.408163,-1.790782,0.7380022,0.1507426
2.112245,-1.938922,0.8645235,0.152084
2.816327,-2.056957,0.9508732,0.1539837
3.520408,-2.10656,0.9755772,0.1420342
4.22449,-2.194216,0.9560828,0.121834
4.928571,-2.163056,0.898636,0.09626024
5.632653,-2.126718,0.8314078,0.07378385
6.336735,-2.054582,0.7640185,0.05620539
7.040816,-1.95928,0.7019831,0.04313606
7.744898,-1.850185,0.6475029,0.03359122
8.44898,-1.734815,0.6014647,0.0266989
9.153061,-1.618457,0.563657,0.02172659
9.857143,-1.504858,0.5336127,0.01814945
10.56122,-1.396427,0.5101258,0.01553856
11.26531,-1.294003,0.4917511,0.01358057
11.96939,-1.198045,0.4773698,0.01208017
12.67347,-1.109116,0.4660365,0.01090126
13.37755,-1.026643,0.4569224,0.009946858
14.08163,-0.952401,0.4495948,0.009170428
14.78571,-0.8867584,0.4436041,0.008529691
15.4898,-0.8207054,0.4384026,0.00796797
16.19388,-0.7622203,0.4338249,0.007474278
16.89796,-0.7094944,0.4298774,0.007048312
17.60204,-0.6614106,0.4263051,0.006668305
18.30612,-0.6162584,0.423058,0.006326807
19.0102,-0.5759936,0.4201354,0.006027497
19.71429,-0.5391924,0.4173719,0.005753578
20.41837,-0.5047114,0.4147798,0.005503109
21.12245,-0.4723889,0.4123133,0.005272752
21.82653,-0.4461456,0.410295,0.005091539
22.53061,-0.4200662,0.4081007,0.004906901
23.23469,-0.3914985,0.4057691,0.004712985
23.93878,-0.3641791,0.4034726,0.004523153
24.64286,-0.3433897,0.4015658,0.004379404
25.34694,-0.3238006,0.3996243,0.004235656
26.05102,-0.3051351,0.3977187,0.004096843
26.7551,-0.2881952,0.3960104,0.0039818
27.45918,-0.2721261,0.3942679,0.003866
28.16327,-0.2566808,0.3925773,0.003755563
28.86735,-0.242143,0.3910876,0.003664457
29.57143,-0.2283159,0.3895709,0.003572796
30.27551,-0.2149202,0.3880959,0.003484631
30.97959,-0.2030583,0.3868675,0.00341511
31.68367,-0.1915034,0.3856205,0.003345221
32.38776,-0.1803836,0.3843836,0.003276278
33.09184,-0.1692939,0.3834476,0.003225883
33.79592,-0.1582977,0.382519,0.003176401
34.5,-0.147337,0.381585,0.003126813
