z,U_0,U_1,U_2
3.634075e-18,-5.097014e-17,-4.58739e-17,8.693202e-20
0.7040816,-0.700128,-0.4682742,-0.05201948
1.408163,-0.6137436,-0.1227118,-0.1437072
2.112245,-0.3491892,0.2437996,-0.2946877
2.816327,0.3971171,0.6403167,-0.5933833
3.520408,1.211588,1.111877,-0.9137903
4.22449,1.753058,1.565342,-1.098287
4.928571,2.168992,2.030723,-1.169503
5.632653,2.556423,2.573175,-1.144989
6.336735,2.936492,3.09939,-1.068523
7.040816,3.2069,3.457041,-0.9311388
7.744898,3.357735,3.644797,-0.7815597
8.44898,3.455185,3.746825,-0.6435311
9.153061,3.530398,3.808261,-0.5224281
9.857143,3.592539,3.848786,-0.4193324
10.56122,3.644867,3.877659,-0.3336496
11.26531,3.689439,3.899708,-0.2634371
11.96939,3.727907,3.917509,-0.2057972
12.67347,3.76162,3.932601,-0.1587042
13.37755,3.791772,3.946011,-0.1202253
14.08163,3.818933,3.958215,-0.08917745
14.78571,3.842728,3.96914,-0.06524276
15.4898,3.867534,3.980818,-0.04365803
16.19388,3.88925,3.992048,-0.02768511
16.89796,3.909536,4.003186,-0.01473175
17.60204,3.928951,4.014106,-0.00408278
18.30612,3.947508,4.024814,0.004588327
19.0102,3.965054,4.035563,0.01122878
19.71429,3.981671,4.046336,0.01689046
20.41837,3.997484,4.056988,0.02153363
21.12245,4.01259,4.067292,0.02547823
21.82653,4.026746,4.077187,0.02855622
22.53061,4.040503,4.087365,0.03117104
23.23469,4.053591,4.096853,0.03323955
23.93878,4.066273,4.106236,0.0352696
24.64286,4.077763,4.115192,0.03653997
25.34694,4.089044,4.123851,0.0377344
26.05102,4.099825,4.132361,0.03891336
26.7551,4.109451,4.140101,0.03968885
27.45918,4.118962,4.147707,0.04042375
28.16327,4.127967,4.155084,0.0411029
28.86735,4.135774,4.161562,0.04155118
29.57143,4.143491,4.167945,0.04198931
30.27551,4.150756,4.174068,0.04245696
30.97959,4.156853,4.179343,0.04255505
31.68367,4.162807,4.18448,0.04259352
32.38776,4.168485,4.189454,0.04257739
33.09184,4.173006,4.193597,0.04240886
33.79592,4.177219,4.197437,0.04233526
34.5,4.181385,4.201247,0.04227143
