z,U_0,U_1,U_2
0,0,0,0
0.7040816,-1.194509,-0.4934207,0.03138976
1.408163,-1.046139,-0.3195507,0.02951059
2.112245,-0.8209652,-0.0607416,0.005339338
2.816327,-0.4128862,0.220457,-0.02960967
3.520408,0.3264662,0.3900386,-0.09202718
4.22449,1.393272,0.4966515,-0.1926658
4.928571,2.630518,0.7497637,-0.2565102
5.632653,3.615743,1.103096,-0.2652521
6.336735,4.19831,1.377933,-0.2557941
7.040816,4.508545,1.547194,-0.2359856
7.744898,4.67407,1.660814,-0.2117145
8.44898,4.76961,1.74847,-0.1854948
9.153061,4.831116,1.820101,-0.1584534
9.857143,4.875244,1.879061,-0.1318096
10.56122,4.909979,1.927259,-0.1070268
11.26531,4.939544,1.966683,-0.08484936
11.96939,4.966217,1.999287,-0.06554326
12.67347,4.991182,2.026515,-0.04903442
13.37755,5.015321,2.049629,-0.03493812
14.08163,5.038367,2.069077,-0.0233247
14.78571,5.060866,2.085984,-0.01371687
15.4898,5.083081,2.100856,-0.005893703
16.19388,5.105423,2.114353,0.00086348
16.89796,5.126998,2.12618,0.006306243
17.60204,5.148139,2.137253,0.01078437
18.30612,5.168962,2.147418,0.01453514
19.0102,5.188961,2.15667,0.01748533
19.71429,5.208539,2.165479,0.01998798
20.41837,5.227539,2.173663,0.02207489
21.12245,5.24594,2.181525,0.02388997
21.82653,5.263755,2.18896,0.02542019
22.53061,5.279898,2.195516,0.02654505
23.23469,5.296216,2.202141,0.02763749
23.93878,5.312975,2.208862,0.02871971
24.64286,5.327287,2.214512,0.02947147
25.34694,5.341598,2.220162,0.03022324
26.05102,5.355563,2.225619,0.03090577
26.7551,5.367777,2.230371,0.03153149
27.45918,5.379991,2.235122,0.03215722
28.16327,5.391744,2.239659,0.03271545
28.86735,5.40178,2.243535,0.03321066
29.57143,5.411816,2.247411,0.03370587
30.27551,5.421507,2.251131,0.03413545
30.97959,5.429335,2.254145,0.03441377
31.68367,5.437162,2.257159,0.03469209
32.38776,5.444982,2.260156,0.03495153
33.09184,5.450493,2.262269,0.03500922
33.79592,5.45599,2.264378,0.03506617
34.5,5.461488,2.266486,0.03512312
