z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.3944864,1.360158,-0.004563884
1.408163,0.3479151,1.418509,-0.04492719
2.112245,0.8888825,1.495178,-0.0119699
2.816327,1.238862,1.583975,0.1211393
3.520408,1.49577,1.673051,0.3505445
4.22449,1.747126,1.766132,0.6554367
4.928571,2.097851,1.865131,1.007877
5.632653,2.643525,1.949381,1.304111
6.336735,3.306051,1.970914,1.372997
7.040816,3.848262,1.953419,1.214953
7.744898,4.1881,1.945824,0.9914902
8.44898,4.386793,1.952196,0.7993598
9.153061,4.512997,1.965764,0.6505118
9.857143,4.601929,1.981849,0.5388017
10.56122,4.671678,1.998113,0.4542428
11.26531,4.730484,2.013838,0.389093
11.96939,4.782429,2.028877,0.3376286
12.67347,4.829562,2.043221,0.2962227
13.37755,4.873168,2.05699,0.2621497
14.08163,4.913048,2.069898,0.2342942
14.78571,4.946375,2.080913,0.2132286
15.4898,4.985858,2.094147,0.1904276
16.19388,5.01926,2.105583,0.1735421
16.89796,5.050789,2.11638,0.1589858
17.60204,5.080614,2.126779,0.1462424
18.30612,5.108924,2.136751,0.1351154
19.0102,5.135668,2.146217,0.1255297
19.71429,5.161284,2.155392,0.1170395
20.41837,5.185599,2.1641,0.109512
21.12245,5.208486,2.172364,0.1028494
21.82653,5.226915,2.179081,0.09792522
22.53061,5.250563,2.187795,0.0919332
23.23469,5.271252,2.195311,0.08707796
23.93878,5.289881,2.202152,0.08279403
24.64286,5.307462,2.208718,0.07952358
25.34694,5.32445,2.214936,0.07631607
26.05102,5.340119,2.220748,0.07340616
26.7551,5.354849,2.226252,0.07114185
27.45918,5.369045,2.231476,0.06892206
28.16327,5.381866,2.236249,0.06697472
28.86735,5.393881,2.240736,0.06547075
29.57143,5.405335,2.244954,0.06400644
30.27551,5.415504,2.248725,0.06272835
30.97959,5.42495,2.25224,0.06180375
31.68367,5.433695,2.255442,0.06094168
32.38776,5.441374,2.258256,0.06018507
33.09184,5.44842,2.260856,0.05972657
33.79592,5.454464,2.263035,0.05930808
34.5,5.459806,2.264953,0.05891175
