z,p,k,epsilon
0,0.8933774,0.6813717,4.86144
0.7040816,0.9450566,0.8321711,0.3549604
1.408163,0.8602323,0.85172,0.227627
2.112245,0.7978266,0.802179,0.1530372
2.816327,0.7000802,0.7618881,0.111236
3.520408,0.5641944,0.7107719,0.0813621
4.22449,0.4766015,0.6585575,0.05971967
4.928571,0.4137263,0.6164327,0.04551803
5.632653,0.3783741,0.582374,0.03589414
6.336735,0.3272459,0.5556857,0.02925427
7.040816,0.2703379,0.5344868,0.02451935
7.744898,0.2126766,0.5172341,0.02098879
8.44898,0.1575764,0.5030053,0.01828149
9.153061,0.1073543,0.4909698,0.01614219
9.857143,0.06359895,0.4806899,0.01442185
10.56122,0.02588471,0.4718467,0.01301319
11.26531,-0.005905653,0.4641993,0.01184382
11.96939,-0.03210884,0.4575704,0.01086342
12.67347,-0.05333295,0.4517661,0.01002991
13.37755,-0.07019362,0.4466141,0.00930982
14.08163,-0.08282275,0.4420609,0.008690357
14.78571,-0.09179012,0.4381506,0.008169812
15.4898,-0.1003613,0.4343006,0.007670032
16.19388,-0.1052989,0.4309419,0.007245026
16.89796,-0.1082247,0.4278197,0.006862689
17.60204,-0.1104387,0.4249614,0.006518822
18.30612,-0.1109922,0.4222318,0.00620458
19.0102,-0.1105666,0.4197033,0.005924291
19.71429,-0.1096337,0.4173076,0.005667852
20.41837,-0.1077195,0.4149967,0.005430736
21.12245,-0.1056664,0.4127922,0.005212238
21.82653,-0.1035004,0.4110464,0.005046358
22.53061,-0.09972691,0.4089104,0.004854442
23.23469,-0.0959125,0.4067495,0.004667478
23.93878,-0.09284606,0.404682,0.004492706
24.64286,-0.0882687,0.4028462,0.004349139
25.34694,-0.08438066,0.4010238,0.004209825
26.05102,-0.08155089,0.3992467,0.004077991
26.7551,-0.07693854,0.3975794,0.003962848
27.45918,-0.07305638,0.3959254,0.003850004
28.16327,-0.06979316,0.3943234,0.003744218
28.86735,-0.06527969,0.3928514,0.003652714
29.57143,-0.06133963,0.3913944,0.003562946
30.27551,-0.05797207,0.389994,0.003478931
30.97959,-0.05350433,0.3887528,0.003407873
31.68367,-0.0492785,0.3875393,0.003339116
32.38776,-0.04558841,0.3863733,0.003274126
33.09184,-0.04123057,0.3853928,0.003221302
33.79592,-0.03693681,0.3844745,0.003172394
34.5,-0.03338996,0.3835743,0.003124714
