z,U_0,U_1,U_2
0,0,0,0
0.7040816,1.44332,3.42645,-0.423047
1.408163,1.762264,3.299409,-0.4874132
2.112245,2.070948,3.206954,-0.2235701
2.816327,2.529635,2.933741,0.2745279
3.520408,3.185472,2.49437,0.6107795
4.22449,3.689166,2.29051,0.6776127
4.928571,4.010018,2.189021,0.671559
5.632653,4.232389,2.121305,0.6287684
6.336735,4.388192,2.078596,0.5688457
7.040816,4.502476,2.052376,0.5027817
7.744898,4.589978,2.038737,0.438869
8.44898,4.659423,2.034117,0.3809954
9.153061,4.716592,2.035556,0.3303963
9.857143,4.765018,2.040983,0.2872499
10.56122,4.80785,2.048837,0.2510462
11.26531,4.846796,2.058088,0.2209098
11.96939,4.88282,2.067931,0.1958284
12.67347,4.91666,2.078012,0.1748905
13.37755,4.94891,2.088161,0.1572448
14.08163,4.979328,2.098065,0.1424293
14.78571,5.007443,2.107331,0.1303744
15.4898,5.036892,2.117158,0.1190223
16.19388,5.064121,2.126413,0.1099849
16.89796,5.090301,2.135333,0.1019828
17.60204,5.115547,2.144005,0.09512747
18.30612,5.140018,2.152408,0.08887967
19.0102,5.163292,2.160434,0.08354711
19.71429,5.185684,2.168255,0.07896425
20.41837,5.207221,2.175788,0.074782
21.12245,5.227887,2.183051,0.07109697
21.82653,5.244251,2.188808,0.06837801
22.53061,5.265259,2.196222,0.06512239
23.23469,5.284615,2.203086,0.06228082
23.93878,5.301959,2.209247,0.06003899
24.64286,5.317822,2.21503,0.0583911
25.34694,5.333402,2.220593,0.05664203
26.05102,5.34845,2.225902,0.05498386
26.7551,5.361729,2.230735,0.05391883
27.45918,5.374904,2.235451,0.05273105
28.16327,5.387396,2.239893,0.05166286
28.86735,5.398189,2.243819,0.05099251
29.57143,5.408877,2.247653,0.05023849
30.27551,5.418933,2.251225,0.04955058
30.97959,5.427339,2.254278,0.04916073
31.68367,5.435497,2.257202,0.04874363
32.38776,5.443235,2.259926,0.04832452
33.09184,5.449354,2.262142,0.04813665
33.79592,5.454955,2.264139,0.04794963
34.5,5.460478,2.266073,0.0477338
