z,p,k,epsilon
0,3.354184,0.4023199,2.205836
0.7040816,3.402141,0.861689,0.3149435
1.408163,3.405914,0.9095487,0.2360948
2.112245,3.477517,0.8681785,0.1666347
2.816327,3.567504,0.8673531,0.1305091
3.520408,3.330502,0.8739102,0.1080662
4.22449,2.746545,0.8359681,0.08486482
4.928571,2.145831,0.7638265,0.06311083
5.632653,1.584897,0.6910002,0.04677142
6.336735,1.249801,0.6332019,0.03589218
7.040816,0.9619715,0.5895477,0.02860705
7.744898,0.7362756,0.5565888,0.02356081
8.44898,0.5579144,0.5312695,0.01992502
9.153061,0.4167966,0.5114492,0.01721252
9.857143,0.3045994,0.4957241,0.01513248
10.56122,0.2164719,0.4830265,0.01349606
11.26531,0.1472894,0.4726295,0.01218097
11.96939,0.09323487,0.4639625,0.01109942
12.67347,0.05074394,0.4566671,0.01019706
13.37755,0.01714775,0.4504139,0.009428894
14.08163,-0.008956947,0.4450983,0.008780242
14.78571,-0.02693808,0.4409607,0.008279965
15.4898,-0.04461325,0.436238,0.007714555
16.19388,-0.05647951,0.4325239,0.007273822
16.89796,-0.06494956,0.4291591,0.006884379
17.60204,-0.07172023,0.4260993,0.006538629
18.30612,-0.07725617,0.4232369,0.006223158
19.0102,-0.07993108,0.4205878,0.005938129
19.71429,-0.08193662,0.4180721,0.005675655
20.41837,-0.08277169,0.415698,0.005437939
21.12245,-0.08314339,0.4134445,0.005221334
21.82653,-0.08312522,0.4115015,0.005039581
22.53061,-0.08122971,0.4092209,0.004836779
23.23469,-0.08076239,0.407223,0.004665068
23.93878,-0.07873608,0.4051919,0.004498213
24.64286,-0.07557211,0.4033232,0.004351266
25.34694,-0.07378068,0.4014957,0.004211787
26.05102,-0.07072953,0.3997009,0.004081981
26.7551,-0.06743005,0.3980071,0.00396417
27.45918,-0.06495229,0.3963478,0.00385119
28.16327,-0.06143958,0.3947426,0.003747349
28.86735,-0.05797165,0.3932414,0.003653371
29.57143,-0.05512784,0.3917794,0.003563461
30.27551,-0.05158139,0.3903888,0.00348145
30.97959,-0.04787351,0.3891114,0.003408017
31.68367,-0.04463359,0.3878923,0.003339114
32.38776,-0.04082279,0.3867478,0.003276155
33.09184,-0.03673522,0.3857246,0.003220975
33.79592,-0.03345569,0.3847996,0.003171917
34.5,-0.03003474,0.3839311,0.00312636
