z,p,k,epsilon
0,-2.514131,0.04625629,0.08607077
0.7040816,-2.493922,0.1618811,0.04234123
1.408163,-2.521996,0.1822946,0.03861095
2.112245,-2.55283,0.1598694,0.02561738
2.816327,-2.5746,0.1533077,0.01892319
3.520408,-2.579102,0.1683505,0.0231574
4.22449,-2.572024,0.2692024,0.1325632
4.928571,-2.421124,0.6391065,0.7038035
5.632653,-2.437321,0.7478148,0.4248245
6.336735,-2.265344,0.8815402,0.4268368
7.040816,-2.095332,0.9132876,0.2472253
7.744898,-1.900189,0.8790948,0.1467504
8.44898,-1.734096,0.8073336,0.09407738
9.153061,-1.5907,0.7285689,0.06197621
9.857143,-1.463848,0.6596277,0.04225576
10.56122,-1.349704,0.6045623,0.03017048
11.26531,-1.24648,0.5618354,0.02262044
11.96939,-1.152965,0.5286411,0.01771896
12.67347,-1.068063,0.5027157,0.01443362
13.37755,-0.9901801,0.4822375,0.01215191
14.08163,-0.9200827,0.4662754,0.01054205
14.78571,-0.8631037,0.4549484,0.009480446
15.4898,-0.7954711,0.4431928,0.008434636
16.19388,-0.7404868,0.4349212,0.007721208
16.89796,-0.6901927,0.42832,0.007158736
17.60204,-0.6433027,0.422979,0.006701598
18.30612,-0.599636,0.4184259,0.006308514
19.0102,-0.5595533,0.4145896,0.005971758
19.71429,-0.5222144,0.4112185,0.005673665
20.41837,-0.4878992,0.4083054,0.005414184
21.12245,-0.4556789,0.4057174,0.005183518
21.82653,-0.4301983,0.4036391,0.004999897
22.53061,-0.398615,0.4011058,0.004778396
23.23469,-0.3732614,0.3990203,0.004601369
23.93878,-0.3482634,0.3970717,0.004439409
24.64286,-0.3268126,0.3952171,0.004290389
25.34694,-0.3065647,0.3934381,0.004151089
26.05102,-0.2873138,0.3917636,0.004024706
26.7551,-0.2709165,0.3901533,0.003907072
27.45918,-0.2549729,0.3885982,0.00379599
28.16327,-0.2399102,0.3871419,0.003696333
28.86735,-0.2272882,0.3857476,0.003603383
29.57143,-0.215165,0.3844121,0.003515986
30.27551,-0.2039816,0.3831776,0.003438118
30.97959,-0.1967973,0.382007,0.003365811
31.68367,-0.192179,0.380918,0.003299444
32.38776,-0.1903444,0.3799274,0.003240365
33.09184,-0.1941652,0.3789962,0.003186039
33.79592,-0.2011554,0.3782055,0.003139217
34.5,-0.2084693,0.3774994,0.003097196
