z,U_0,U_1,U_2
1.816559e-18,-2.840451e-17,-2.847502e-17,-1.785669e-20
0.7040816,-0.5615159,-0.6794744,-0.1625674
1.408163,-0.235602,-0.4118253,-0.3510271
2.112245,0.2758711,0.02092315,-0.5682272
2.816327,0.9722517,0.5042559,-0.725694
3.520408,1.583375,0.7618202,-0.7662442
4.22449,2.174546,0.8789383,-0.7920958
4.928571,2.813417,1.013124,-0.8097592
5.632653,3.429275,1.191577,-0.7934358
6.336735,3.912886,1.377583,-0.7438916
7.040816,4.245398,1.536554,-0.6701774
7.744898,4.458268,1.659994,-0.5872547
8.44898,4.596262,1.754789,-0.5058082
9.153061,4.691524,1.828722,-0.4310843
9.857143,4.762276,1.887258,-0.365081
10.56122,4.818273,1.934008,-0.3079966
11.26531,4.865011,1.971696,-0.259132
11.96939,4.905695,2.002635,-0.2173962
12.67347,4.942069,2.028467,-0.1819316
13.37755,4.975511,2.050528,-0.1516763
14.08163,5.006064,2.069296,-0.1263807
14.78571,5.034865,2.085683,-0.1047404
15.4898,5.06194,2.100129,-0.08663844
16.19388,5.088219,2.11349,-0.07102514
16.89796,5.112923,2.12545,-0.05801392
17.60204,5.136673,2.13641,-0.04669556
18.30612,5.159569,2.146641,-0.03695606
19.0102,5.181144,2.155909,-0.0289177
19.71429,5.202004,2.164709,-0.02186042
20.41837,5.221994,2.17303,-0.01577092
21.12245,5.241228,2.180902,-0.01033308
21.82653,5.259666,2.188336,-0.005583614
22.53061,5.276692,2.195183,-0.001813646
23.23469,5.293384,2.201814,0.001824131
23.93878,5.309987,2.208424,0.005401956
24.64286,5.324502,2.214106,0.00798518
25.34694,5.338994,2.219771,0.01057215
26.05102,5.353105,2.225304,0.01299197
26.7551,5.365428,2.230094,0.01499301
27.45918,5.377751,2.234884,0.01699406
28.16327,5.389604,2.239506,0.01884707
28.86735,5.399775,2.243467,0.02042072
29.57143,5.409946,2.247427,0.02199437
30.27551,5.419787,2.251273,0.02344539
30.97959,5.42794,2.254496,0.02444344
31.68367,5.436094,2.257719,0.02544148
32.38776,5.444185,2.260918,0.02639714
33.09184,5.450365,2.263413,0.02675977
33.79592,5.456482,2.265881,0.02712018
34.5,5.462599,2.268348,0.0274806
