z,p,k,epsilon
0,4.279445,0.3742841,1.979542
0.7040816,4.242812,0.9255235,0.3201957
1.408163,4.245382,1.023944,0.2619939
2.112245,4.485753,1.0462,0.2143508
2.816327,4.755519,1.109464,0.1935203
3.520408,4.822825,1.192672,0.1856541
4.22449,4.477675,1.243549,0.173898
4.928571,3.54335,1.193041,0.1417998
5.632653,2.459174,1.045519,0.09842621
6.336735,1.598961,0.8891664,0.06533834
7.040816,1.032368,0.7615661,0.04493283
7.744898,0.6585419,0.6691874,0.03253129
8.44898,0.400244,0.6046506,0.02499217
9.153061,0.2246891,0.5597069,0.02018013
9.857143,0.1060443,0.5277822,0.01692121
10.56122,0.02461864,0.5047971,0.0146178
11.26531,-0.03155179,0.4877799,0.01291187
11.96939,-0.07145328,0.4747591,0.01159245
12.67347,-0.09917261,0.4644868,0.01053784
13.37755,-0.1180076,0.4561373,0.009668567
14.08163,-0.1303986,0.4493427,0.008952337
14.78571,-0.1384456,0.444285,0.008412418
15.4898,-0.1432772,0.4386287,0.007807648
16.19388,-0.1445723,0.4343126,0.007342705
16.89796,-0.1453148,0.4305277,0.006937163
17.60204,-0.1443947,0.4271304,0.006579122
18.30612,-0.1417376,0.4239914,0.006253658
19.0102,-0.1390248,0.4211367,0.005961621
19.71429,-0.1353571,0.4184521,0.005693414
20.41837,-0.1317079,0.4159567,0.005451884
21.12245,-0.1277023,0.413597,0.005232049
21.82653,-0.1236901,0.4116563,0.005055047
22.53061,-0.1184393,0.4092307,0.00484177
23.23469,-0.1144687,0.4071654,0.004668163
23.93878,-0.1093285,0.4050883,0.004501379
24.64286,-0.1036933,0.4031816,0.004351874
25.34694,-0.09928231,0.4013152,0.00421142
26.05102,-0.09458501,0.3995062,0.004082833
26.7551,-0.0893408,0.3977848,0.003963059
27.45918,-0.08488055,0.3961036,0.003849606
28.16327,-0.0801815,0.3944972,0.003747103
28.86735,-0.0751859,0.392974,0.003651509
29.57143,-0.07079756,0.3915013,0.003561387
30.27551,-0.06630137,0.3901189,0.003480705
30.97959,-0.06145272,0.3888208,0.003405811
31.68367,-0.05697261,0.3875978,0.003336835
32.38776,-0.05226619,0.3864696,0.003275252
33.09184,-0.04722912,0.3854239,0.003218664
33.79592,-0.04285369,0.3844991,0.003169614
34.5,-0.03854756,0.3836544,0.003125494
