z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.3529204,0.6348663,0.001857835
1.408163,0.4130804,0.7602323,-0.03408068
2.112245,0.9623053,0.8984121,0.009250358
2.816327,1.3176,1.014398,0.155452
3.520408,1.590827,1.095139,0.3939732
4.22449,1.872094,1.145665,0.6948926
4.928571,2.250452,1.186769,1.017338
5.632653,2.780623,1.256191,1.26441
6.336735,3.377713,1.394446,1.305299
7.040816,3.85458,1.559224,1.158177
7.744898,4.150431,1.687234,0.9625491
8.44898,4.347823,1.78205,0.7834157
9.153061,4.473646,1.846514,0.6453598
9.857143,4.5664,1.893527,0.5399497
10.56122,4.640903,1.929974,0.4590121
11.26531,4.704177,1.959684,0.3958365
11.96939,4.759972,1.984896,0.3453515
12.67347,4.810316,2.006886,0.3043321
13.37755,4.856622,2.026575,0.270274
14.08163,4.898708,2.044084,0.2422394
14.78571,4.933706,2.058421,0.2209059
15.4898,4.974994,2.075143,0.1977199
16.19388,5.009723,2.088972,0.1804158
16.89796,5.042487,2.102037,0.1654266
17.60204,5.073233,2.114129,0.1523372
18.30612,5.102471,2.125601,0.1407241
19.0102,5.129906,2.136355,0.1308704
19.71429,5.156153,2.146573,0.1220354
20.41837,5.181077,2.156315,0.1141695
21.12245,5.204441,2.165418,0.107286
21.82653,5.22328,2.172747,0.1020846
22.53061,5.247302,2.182045,0.09581551
23.23469,5.268468,2.190367,0.09068871
23.93878,5.287409,2.197684,0.08619617
24.64286,5.305224,2.204612,0.08274322
25.34694,5.32254,2.211392,0.07932628
26.05102,5.338393,2.217493,0.07629545
26.7551,5.353312,2.223291,0.07388491
27.45918,5.367758,2.22893,0.07150456
28.16327,5.380707,2.233898,0.06947507
28.86735,5.39287,2.238606,0.06786699
29.57143,5.404518,2.243131,0.06628886
30.27551,5.414789,2.247052,0.06495288
30.97959,5.424344,2.250722,0.06396251
31.68367,5.433241,2.254149,0.06302824
32.38776,5.44101,2.257092,0.06223316
33.09184,5.448132,2.25979,0.0617418
33.79592,5.454297,2.262128,0.06128329
34.5,5.459725,2.264156,0.0608617
