z,p,k,epsilon
1.816559e-18,-0.6379526,0.4026191,2.208206
0.7040816,-0.6217037,0.4563945,0.1589169
1.408163,-0.6143383,0.5359592,0.126697
2.112245,-0.6018567,0.5813817,0.1091385
2.816327,-0.6074597,0.6050365,0.09290702
3.520408,-0.6429094,0.6058959,0.07577814
4.22449,-0.6890057,0.589354,0.0593318
4.928571,-0.7373215,0.5689986,0.04661816
5.632653,-0.7402286,0.5497245,0.03720697
6.336735,-0.7524184,0.5333654,0.03053234
7.040816,-0.7582275,0.5191645,0.02562012
7.744898,-0.7580627,0.5066329,0.02190327
8.44898,-0.7521452,0.4954242,0.01901773
9.153061,-0.7408415,0.4853312,0.01672868
9.857143,-0.7248347,0.4762309,0.01488072
10.56122,-0.7047078,0.468078,0.01337253
11.26531,-0.6812403,0.4607646,0.01212266
11.96939,-0.6552767,0.4542306,0.01107414
12.67347,-0.6276776,0.4483986,0.01018569
13.37755,-0.5988714,0.4431572,0.009421217
14.08163,-0.5702117,0.4385346,0.008770725
14.78571,-0.5417222,0.4343685,0.008203634
15.4898,-0.5127215,0.4306366,0.00771197
16.19388,-0.4843568,0.4271405,0.007264146
16.89796,-0.4574516,0.4239697,0.006870228
17.60204,-0.4314842,0.4210299,0.006515759
18.30612,-0.4064198,0.4182638,0.006193094
19.0102,-0.3828878,0.4157204,0.005909439
19.71429,-0.3604377,0.4132948,0.005648496
20.41837,-0.3391804,0.4109802,0.005408593
21.12245,-0.3190992,0.4087684,0.005187531
21.82653,-0.2997547,0.4066437,0.004985476
22.53061,-0.2822176,0.4046719,0.004809627
23.23469,-0.2649883,0.4027054,0.004637785
23.93878,-0.2477033,0.4007146,0.004464474
24.64286,-0.2331385,0.3989243,0.00432533
25.34694,-0.2185489,0.397135,0.004186469
26.05102,-0.2045135,0.3953734,0.004052191
26.7551,-0.1921795,0.3937598,0.003940253
27.45918,-0.1798455,0.3921463,0.003828316
28.16327,-0.1680303,0.3905739,0.003721349
28.86735,-0.1575463,0.3891656,0.003632709
29.57143,-0.1470623,0.3877573,0.003544068
30.27551,-0.1368974,0.3863844,0.003458694
30.97959,-0.1277537,0.3852228,0.00339108
31.68367,-0.1186101,0.3840613,0.003323466
32.38776,-0.1095121,0.3829042,0.003256269
33.09184,-0.10117,0.3820251,0.00320779
33.79592,-0.09282556,0.3811554,0.003159874
34.5,-0.08448114,0.3802856,0.003111958
