z,p,k,epsilon
0,-1.097132,0.4373443,2.499931
0.7040816,-1.083085,0.4210359,0.1439911
1.408163,-1.08102,0.4954086,0.1101276
2.112245,-1.070862,0.5444817,0.09609599
2.816327,-1.05468,0.5727018,0.08343642
3.520408,-1.042437,0.5794666,0.0696353
4.22449,-1.02555,0.5695143,0.05587004
4.928571,-1.006815,0.5540816,0.04474049
5.632653,-0.9667757,0.5379094,0.03605746
6.336735,-0.9368926,0.5236617,0.02977447
7.040816,-0.9073075,0.5110047,0.02509826
7.744898,-0.8780479,0.4996952,0.02152842
8.44898,-0.8486784,0.4895471,0.01874869
9.153061,-0.8185792,0.4803517,0.01653174
9.857143,-0.7876147,0.4720128,0.01473811
10.56122,-0.7557714,0.4644615,0.01326243
11.26531,-0.7232854,0.4576433,0.01203407
11.96939,-0.6904824,0.4515313,0.01100422
12.67347,-0.6576519,0.4460429,0.01013003
13.37755,-0.6248794,0.4410803,0.009376862
14.08163,-0.5930009,0.4366391,0.008731241
14.78571,-0.5634689,0.4327925,0.00819086
15.4898,-0.5302388,0.4289612,0.007672932
16.19388,-0.5012283,0.4256653,0.007237435
16.89796,-0.4726874,0.4225684,0.006845571
17.60204,-0.446187,0.4197301,0.006494726
18.30612,-0.4199405,0.417024,0.006175073
19.0102,-0.395342,0.4145204,0.005891038
19.71429,-0.3725368,0.4121542,0.005632134
20.41837,-0.3503551,0.4098766,0.005393276
21.12245,-0.3295076,0.4077053,0.005173719
21.82653,-0.3131817,0.4059882,0.005007396
22.53061,-0.2942197,0.4038928,0.004815515
23.23469,-0.2744855,0.4017842,0.004628831
23.93878,-0.2557735,0.3997679,0.004454443
24.64286,-0.2409009,0.3979896,0.004311936
25.34694,-0.2258198,0.3962174,0.004173504
26.05102,-0.2115351,0.3944866,0.004042619
26.7551,-0.198877,0.392884,0.003929003
27.45918,-0.1861805,0.3912851,0.003817422
28.16327,-0.1741427,0.3897397,0.003712979
28.86735,-0.1634188,0.3883374,0.003623118
29.57143,-0.1527007,0.3869423,0.003534793
30.27551,-0.1424885,0.3856053,0.00345226
30.97959,-0.1334434,0.384433,0.00338277
31.68367,-0.1242738,0.3832841,0.003315445
32.38776,-0.115209,0.3821831,0.003251865
33.09184,-0.1070984,0.3812657,0.003200406
33.79592,-0.09891896,0.3804082,0.003152756
34.5,-0.09069431,0.3795677,0.0031063
