z,U_0,U_1,U_2
1.817799e-18,9.391578e-19,-3.929964e-17,-1.253856e-19
0.7040816,0.4476709,-0.7443645,-0.3398222
1.408163,0.9884225,-0.3524031,-0.6833735
2.112245,1.709455,0.2203099,-0.963907
2.816327,2.363822,0.7266363,-1.091162
3.520408,2.779729,1.000003,-1.102737
4.22449,3.144143,1.186333,-1.10028
4.928571,3.483822,1.354099,-1.074862
5.632653,3.776929,1.508015,-1.014139
6.336735,4.012984,1.637752,-0.9232307
7.040816,4.199468,1.740175,-0.8174066
7.744898,4.348095,1.818197,-0.710685
8.44898,4.468208,1.877287,-0.6115554
9.153061,4.566741,1.922763,-0.5238283
9.857143,4.648638,1.958813,-0.4482508
10.56122,4.717737,1.988218,-0.3840029
11.26531,4.777142,2.012669,-0.3295506
11.96939,4.829084,2.033489,-0.2832411
12.67347,4.875306,2.051648,-0.2437482
13.37755,4.917294,2.067853,-0.2097706
14.08163,4.955238,2.082299,-0.1808971
14.78571,4.988019,2.094479,-0.1576097
15.4898,5.022868,2.107392,-0.1344908
16.19388,5.054111,2.118479,-0.1156283
16.89796,5.082887,2.129462,-0.09946177
17.60204,5.1103,2.138952,-0.08534845
18.30612,5.136283,2.148432,-0.07282777
19.0102,5.160518,2.157222,-0.06221958
19.71429,5.183664,2.165362,-0.05283219
20.41837,5.205593,2.173533,-0.04438021
21.12245,5.226522,2.181061,-0.03688024
21.82653,5.244581,2.187652,-0.03076602
22.53061,5.262472,2.194173,-0.02524173
23.23469,5.280948,2.200946,-0.01961769
23.93878,5.299767,2.20803,-0.01382464
24.64286,5.315022,2.213924,-0.009799255
25.34694,5.330237,2.219434,-0.005895109
26.05102,5.345009,2.224875,-0.002143171
26.7551,5.357798,2.2298,0.001042898
27.45918,5.370616,2.234529,0.004131059
28.16327,5.382927,2.239146,0.007090432
28.86735,5.393478,2.243246,0.009821397
29.57143,5.404042,2.247217,0.01244882
30.27551,5.414261,2.251104,0.01502093
30.97959,5.422904,2.254585,0.01723288
31.68367,5.431529,2.257983,0.01931453
32.38776,5.440037,2.261348,0.02133936
33.09184,5.447517,2.264471,0.02313049
33.79592,5.454763,2.267475,0.02474458
34.5,5.462009,2.270478,0.02635867
