z,U_0,U_1,U_2
0,0,0,0
0.7040816,2.293502,-0.1351528,0.09804238
1.408163,2.449921,0.3440526,0.1784499
2.112245,2.587228,0.7621919,0.3075653
2.816327,2.72161,1.147124,0.4803646
3.520408,2.848627,1.546222,0.6407724
4.22449,2.967316,1.929462,0.7175313
4.928571,3.070946,2.22875,0.7294656
5.632653,3.169574,2.490412,0.7095646
6.336735,3.252254,2.69423,0.6802782
7.040816,3.324722,2.865527,0.6443408
7.744898,3.388688,3.011644,0.6047197
8.44898,3.445822,3.137226,0.5635209
9.153061,3.49732,3.245656,0.5222985
9.857143,3.544265,3.339696,0.4820843
10.56122,3.587395,3.421451,0.4437097
11.26531,3.627277,3.492787,0.4077262
11.96939,3.664326,3.555465,0.3743489
12.67347,3.69888,3.610827,0.3436543
13.37755,3.731282,3.660167,0.3155781
14.08163,3.761489,3.704044,0.2902261
14.78571,3.788497,3.741557,0.2684083
15.4898,3.816953,3.779595,0.2463986
16.19388,3.84244,3.81244,0.2279784
16.89796,3.866621,3.842613,0.211373
17.60204,3.889466,3.870479,0.1963964
18.30612,3.911172,3.896277,0.1827277
19.0102,3.93162,3.919897,0.1707933
19.71429,3.951089,3.942116,0.1600142
20.41837,3.969664,3.962956,0.1502257
21.12245,3.987168,3.982337,0.1413468
21.82653,4.00342,4.000032,0.1335596
22.53061,4.019191,4.017127,0.1266303
23.23469,4.034051,4.032997,0.1202543
23.93878,4.048912,4.048927,0.1139237
24.64286,4.061918,4.062575,0.1092579
25.34694,4.074597,4.075833,0.1046365
26.05102,4.086915,4.088754,0.1002561
26.7551,4.097651,4.099821,0.09687174
27.45918,4.10823,4.110709,0.09351125
28.16327,4.118386,4.121191,0.0903769
28.86735,4.127017,4.129955,0.08799198
29.57143,4.135536,4.138593,0.08562333
30.27551,4.143662,4.146856,0.08340062
30.97959,4.150334,4.153529,0.08178702
31.68367,4.156822,4.160002,0.08019447
32.38776,4.163049,4.166232,0.07864081
33.09184,4.167897,4.170994,0.07763595
33.79592,4.172383,4.175365,0.07666726
34.5,4.176828,4.179695,0.07570354
