z,p,k,epsilon
0,-0.8288872,0.6101774,4.120845
0.7040816,-0.7971914,0.4613154,0.1549649
1.408163,-0.8284518,0.5845487,0.123337
2.112245,-0.8632757,0.6524603,0.1117056
2.816327,-0.875699,0.6814257,0.09771722
3.520408,-0.8648177,0.6787666,0.08132512
4.22449,-0.84009,0.6564489,0.06519189
4.928571,-0.7797241,0.6277404,0.05165611
5.632653,-0.7300831,0.6008044,0.04145673
6.336735,-0.6884069,0.5776132,0.03399349
7.040816,-0.6556311,0.5578312,0.02844185
7.744898,-0.6299379,0.5407432,0.02421239
8.44898,-0.60925,0.5257941,0.02092093
9.153061,-0.5913199,0.5125257,0.0183026
9.857143,-0.5751849,0.50078,0.0161995
10.56122,-0.5597371,0.4903491,0.01448588
11.26531,-0.5442685,0.4810246,0.01306687
11.96939,-0.52842,0.4726819,0.01187983
12.67347,-0.5122359,0.4652329,0.01087755
13.37755,-0.4953412,0.4585048,0.01001701
14.08163,-0.4782275,0.4525435,0.009286021
14.78571,-0.4605703,0.4472605,0.008663463
15.4898,-0.4431297,0.4422296,0.008094257
16.19388,-0.4248264,0.4377365,0.007602598
16.89796,-0.4074959,0.4336506,0.007167188
17.60204,-0.3892122,0.4298054,0.006773943
18.30612,-0.3725188,0.4262726,0.006420781
19.0102,-0.3562473,0.4230457,0.00611045
19.71429,-0.339144,0.4199483,0.005824976
20.41837,-0.323479,0.4170566,0.005564968
21.12245,-0.3076703,0.4143,0.005325782
21.82653,-0.2951036,0.4120566,0.00513827
22.53061,-0.2807954,0.4096309,0.004947418
23.23469,-0.2659873,0.4070649,0.004747605
23.93878,-0.2509763,0.4045404,0.004551954
24.64286,-0.237581,0.4024213,0.004403143
25.34694,-0.2248906,0.4003223,0.004255761
26.05102,-0.2138821,0.3982901,0.004114339
26.7551,-0.2018498,0.3964274,0.003996034
27.45918,-0.1908192,0.3945777,0.003878087
28.16327,-0.1808345,0.3927947,0.003765921
28.86735,-0.1701435,0.3911993,0.003672788
29.57143,-0.1601932,0.3896098,0.003579815
30.27551,-0.1511165,0.3880711,0.003490574
30.97959,-0.1414715,0.3867724,0.003419809
31.68367,-0.1322237,0.385475,0.003349088
32.38776,-0.1237236,0.3841988,0.003279491
33.09184,-0.1144128,0.3832126,0.00322831
33.79592,-0.1049167,0.3822483,0.003178242
34.5,-0.09665035,0.3812836,0.003128216
