z,p,k,epsilon
0,2.132189,0.6852396,4.903133
0.7040816,2.153013,0.9958516,0.3815648
1.408163,2.083256,1.133599,0.312891
2.112245,2.085061,1.155329,0.2562764
2.816327,2.113771,1.180458,0.2186457
3.520408,1.765094,1.179991,0.1848001
4.22449,1.093724,1.097737,0.1401305
4.928571,0.5132694,0.9659992,0.09745329
5.632653,0.06089187,0.8368865,0.06647664
6.336735,-0.1095811,0.7352299,0.04715193
7.040816,-0.2270448,0.6592297,0.03507709
7.744898,-0.2905667,0.60338,0.02732707
8.44898,-0.3223371,0.5622493,0.02214464
9.153061,-0.3349539,0.5316666,0.01853344
9.857143,-0.3372171,0.5087257,0.01592624
10.56122,-0.3316998,0.4911612,0.01397231
11.26531,-0.3217694,0.4774844,0.0124632
11.96939,-0.3086451,0.4665789,0.01125999
12.67347,-0.294354,0.4577685,0.01028137
13.37755,-0.2796497,0.4504919,0.009465271
14.08163,-0.2654263,0.4444966,0.008786808
14.78571,-0.2526834,0.4399474,0.008269575
15.4898,-0.2369375,0.4348756,0.007690749
16.19388,-0.2237203,0.4309767,0.00724344
16.89796,-0.2104854,0.4275065,0.006850695
17.60204,-0.1982992,0.4243957,0.006503701
18.30612,-0.1870675,0.4215285,0.006188212
19.0102,-0.175949,0.4188954,0.005903884
19.71429,-0.1655716,0.4164145,0.005642678
20.41837,-0.1553482,0.4140773,0.005406552
21.12245,-0.1458105,0.4118688,0.00519158
21.82653,-0.1378857,0.4099703,0.005011321
22.53061,-0.1276953,0.4077012,0.004806375
23.23469,-0.1202078,0.4057557,0.004636335
23.93878,-0.1117177,0.4038301,0.004475293
24.64286,-0.1043173,0.4020211,0.004330231
25.34694,-0.09770742,0.4002485,0.004192347
26.05102,-0.09029987,0.3985077,0.004063879
26.7551,-0.08389893,0.3968681,0.003947478
27.45918,-0.0779439,0.3952599,0.003835816
28.16327,-0.07134427,0.3937041,0.003733193
28.86735,-0.06563452,0.392251,0.003640398
29.57143,-0.06030447,0.3908352,0.003551593
30.27551,-0.05458496,0.3894885,0.003470559
30.97959,-0.04938201,0.3882523,0.003398069
31.68367,-0.04441713,0.3870729,0.003330054
32.38776,-0.0390019,0.3859659,0.003267898
33.09184,-0.03404029,0.384976,0.003213459
33.79592,-0.02981145,0.3840824,0.003165073
34.5,-0.02562778,0.3832433,0.00312013
