z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.1068716,1.184661,0.04310864
1.408163,0.6687941,1.093669,0.03498858
2.112245,1.252192,1.006322,0.1080769
2.816327,1.669952,0.9584094,0.3080317
3.520408,2.063333,0.9465677,0.6204459
4.22449,2.545571,0.9446602,0.95912
4.928571,3.157445,0.8859177,1.182248
5.632653,3.738438,0.7393865,1.191613
6.336735,4.159,0.568452,1.077555
7.040816,4.448304,0.4204748,0.9219763
7.744898,4.644367,0.3079606,0.7788127
8.44898,4.78468,0.2275921,0.6555095
9.153061,4.891618,0.1710827,0.5538578
9.857143,4.977492,0.1311384,0.4714672
10.56122,5.049969,0.1026426,0.4052314
11.26531,5.113215,0.0818844,0.3518113
11.96939,5.170038,0.06634423,0.3081372
12.67347,5.221686,0.05448726,0.2720487
13.37755,5.269512,0.04524179,0.2417558
14.08163,5.313111,0.0380552,0.2166375
14.78571,5.349206,0.03291909,0.1976672
15.4898,5.392886,0.02747486,0.1764995
16.19388,5.42936,0.02362173,0.1608623
16.89796,5.46382,0.02045147,0.1473157
17.60204,5.496148,0.01781816,0.1355512
18.30612,5.526996,0.01553545,0.1251399
19.0102,5.556148,0.01370075,0.1162456
19.71429,5.584059,0.01207033,0.108311
20.41837,5.61043,0.01068745,0.1012851
21.12245,5.635256,0.009519842,0.09514927
21.82653,5.655767,0.008619041,0.09042571
22.53061,5.681137,0.007537425,0.08499104
23.23469,5.702677,0.006820508,0.08066533
23.93878,5.72338,0.006014661,0.07667233
24.64286,5.742485,0.005440965,0.07367968
25.34694,5.76091,0.004931379,0.0707195
26.05102,5.777879,0.004377892,0.06818592
26.7551,5.793897,0.003972108,0.06616421
27.45918,5.809316,0.003605181,0.06417208
28.16327,5.823228,0.003207892,0.06255381
28.86735,5.836307,0.002914328,0.0612818
29.57143,5.848778,0.002649305,0.06003607
30.27551,5.859851,0.002361734,0.05904977
30.97959,5.870158,0.002145595,0.05835586
31.68367,5.879718,0.001954736,0.05771509
32.38776,5.888128,0.001746765,0.05724324
33.09184,5.895832,0.001585565,0.05702456
33.79592,5.902526,0.001453658,0.05680324
34.5,5.908458,0.00131908,0.05662225
