z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.3380227,0.3856086,0.001661614
1.408163,0.4344412,0.3605706,-0.03889126
2.112245,1.017898,0.3356195,-0.001683803
2.816327,1.408706,0.3255065,0.1440964
3.520408,1.705231,0.3335809,0.391476
4.22449,2.000339,0.3607342,0.7122671
4.928571,2.39893,0.3963729,1.067529
5.632653,2.979288,0.4066696,1.347549
6.336735,3.649205,0.3418247,1.394979
7.040816,4.187362,0.2378041,1.228228
7.744898,4.529402,0.1560495,1.003447
8.44898,4.736216,0.1040298,0.8090174
9.153061,4.871758,0.0720584,0.6570004
9.857143,4.969499,0.05237962,0.5421509
10.56122,5.046944,0.03955621,0.4549894
11.26531,5.112344,0.03075928,0.3878238
11.96939,5.169971,0.02445171,0.3348353
12.67347,5.222055,0.01979221,0.292308
13.37755,5.270081,0.01624828,0.2574173
14.08163,5.313859,0.0135445,0.2289965
14.78571,5.350346,0.01162804,0.2075774
15.4898,5.393488,0.009650092,0.1844956
16.19388,5.429911,0.008322942,0.1674746
16.89796,5.464302,0.007085831,0.1528523
17.60204,5.496724,0.006175455,0.140137
18.30612,5.52755,0.005387849,0.1290112
19.0102,5.556587,0.004717378,0.1195606
19.71429,5.584394,0.004186891,0.111178
20.41837,5.610799,0.003667016,0.1037662
21.12245,5.635598,0.003248383,0.09728619
21.82653,5.655566,0.002954097,0.09246627
22.53061,5.681074,0.00267365,0.08666594
23.23469,5.70349,0.00228717,0.08196172
23.93878,5.723629,0.002041106,0.07792332
24.64286,5.742682,0.001899127,0.07480441
25.34694,5.761114,0.001638834,0.07175926
26.05102,5.778059,0.001492711,0.06909002
26.7551,5.794046,0.001376644,0.06699286
27.45918,5.80947,0.001189725,0.06494398
28.16327,5.823354,0.001093428,0.0632346
28.86735,5.836417,0.001007851,0.06191403
29.57143,5.84889,0.0008731533,0.06063061
30.27551,5.859932,0.0008006068,0.0595852
30.97959,5.870232,0.0007438007,0.05885725
31.68367,5.879793,0.0006468963,0.05819151
32.38776,5.88817,0.00058578,0.05768236
33.09184,5.895898,0.0005521196,0.0574328
33.79592,5.902568,0.0004858873,0.0572027
34.5,5.908466,0.0004376024,0.0570023
