z,p,k,epsilon
0,-2.131282,0.2516752,1.091188
0.7040816,-2.163322,0.8710874,0.3127423
1.408163,-2.180672,1.1644,0.4170666
2.112245,-2.157727,1.289182,0.4934439
2.816327,-2.092998,1.204327,0.454395
3.520408,-1.996886,1.018928,0.3231533
4.22449,-1.893603,0.8805634,0.2096941
4.928571,-1.794909,0.7961942,0.1401851
5.632653,-1.701403,0.7323851,0.09585071
6.336735,-1.611002,0.6790736,0.06754721
7.040816,-1.520493,0.6324955,0.04875147
7.744898,-1.43034,0.5924677,0.03621902
8.44898,-1.34137,0.5588,0.02781166
9.153061,-1.254444,0.5309378,0.02209413
9.857143,-1.170241,0.5080747,0.01811589
10.56122,-1.089389,0.4895885,0.01530977
11.26531,-1.012509,0.4746492,0.01326224
11.96939,-0.9398877,0.462664,0.01173291
12.67347,-0.8715389,0.4529649,0.01055079
13.37755,-0.8070636,0.4450277,0.009607608
14.08163,-0.7477875,0.4385861,0.00884961
14.78571,-0.6931743,0.4332639,0.008220985
15.4898,-0.6410469,0.4288061,0.007691796
16.19388,-0.5927501,0.4248633,0.007225334
16.89796,-0.5486815,0.4214605,0.006821016
17.60204,-0.5077071,0.418409,0.006461515
18.30612,-0.4696042,0.4156475,0.006138713
19.0102,-0.4353321,0.4131771,0.005856645
19.71429,-0.4031341,0.4108425,0.005598126
20.41837,-0.3732524,0.4086457,0.005361444
21.12245,-0.3452942,0.4065818,0.00514617
21.82653,-0.3238208,0.4049131,0.004978957
22.53061,-0.3003997,0.4029665,0.004796701
23.23469,-0.2762889,0.4009657,0.004612832
23.93878,-0.2525667,0.3989953,0.004433504
24.64286,-0.2343864,0.397311,0.004296069
25.34694,-0.2164492,0.3956248,0.00415974
26.05102,-0.1990011,0.3939588,0.004027894
26.7551,-0.1839895,0.3924413,0.003918165
27.45918,-0.1691652,0.3909129,0.003808179
28.16327,-0.1547575,0.3894196,0.003703096
28.86735,-0.1421099,0.3880894,0.003616169
29.57143,-0.1296607,0.3867493,0.003529014
30.27551,-0.1174946,0.3854394,0.003445068
30.97959,-0.1064963,0.3843391,0.003378751
31.68367,-0.09567549,0.3832314,0.003312268
32.38776,-0.08491984,0.3821356,0.003246927
33.09184,-0.0755312,0.3812883,0.00319859
33.79592,-0.06639859,0.3804589,0.003151521
34.5,-0.05740354,0.3796242,0.003104341
