z,U_0,U_1,U_2
3.635862e-18,-1.221727e-17,1.536341e-16,1.445147e-20
0.7040816,0.4323601,2.537125,-0.2684315
1.408163,1.126545,2.294133,-0.4130032
2.112245,1.533192,2.091598,-0.3326647
2.816327,1.773264,1.909279,-0.04785282
3.520408,2.111207,1.738316,0.5176506
4.22449,2.881428,1.583638,1.008203
4.928571,3.588151,1.365369,1.090456
5.632653,4.044157,1.10793,1.043867
6.336735,4.339447,0.8793561,0.9648134
7.040816,4.558974,0.6820605,0.8559065
7.744898,4.714461,0.5352847,0.7596324
8.44898,4.832507,0.4229721,0.6703161
9.153061,4.926915,0.3371313,0.5908802
9.857143,5.005846,0.2711627,0.5214896
10.56122,5.074164,0.2202749,0.461446
11.26531,5.134447,0.180843,0.410095
11.96939,5.188902,0.1498415,0.3660048
12.67347,5.238737,0.1252524,0.3281185
13.37755,5.285181,0.1054537,0.2952605
14.08163,5.327859,0.08965598,0.2672542
14.78571,5.366834,0.0770061,0.24351
15.4898,5.405834,0.06592667,0.2214518
16.19388,5.441261,0.05710588,0.2030472
16.89796,5.47439,0.04976441,0.1870536
17.60204,5.506626,0.04342494,0.1726691
18.30612,5.53714,0.03802876,0.1599182
19.0102,5.565549,0.03361251,0.14904
19.71429,5.592971,0.02974994,0.1391549
20.41837,5.618653,0.02644403,0.1304514
21.12245,5.643471,0.02351437,0.1225006
21.82653,5.666622,0.02104018,0.1155868
22.53061,5.68749,0.01905518,0.1099351
23.23469,5.708571,0.0171076,0.1044051
23.93878,5.730239,0.01510555,0.0986979
24.64286,5.748113,0.01374844,0.09489723
25.34694,5.766169,0.01236115,0.09101299
26.05102,5.783642,0.01106074,0.08735402
26.7551,5.798651,0.01006771,0.08466656
27.45918,5.813749,0.009062809,0.08194027
28.16327,5.828141,0.008135459,0.0794349
28.86735,5.840256,0.007412058,0.07763062
29.57143,5.852425,0.006681542,0.07580388
30.27551,5.864098,0.005994953,0.07410316
30.97959,5.87331,0.005474801,0.07301699
31.68367,5.882585,0.004946484,0.07190817
32.38776,5.891802,0.004421986,0.07080558
33.09184,5.898216,0.004067859,0.07024687
33.79592,5.904638,0.003702379,0.06967193
34.5,5.91106,0.0033369,0.06909698
