z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.4742692,0.5489949,-0.4496615
1.408163,0.1173565,0.518486,-0.7116073
2.112245,0.4945069,0.4932317,-0.7220511
2.816327,0.7282402,0.4846124,-0.5515791
3.520408,0.896502,0.4961254,-0.2542809
4.22449,1.07147,0.5301109,0.1508819
4.928571,1.325777,0.5934797,0.6565064
5.632653,1.774456,0.701394,1.234493
6.336735,2.533809,0.7979177,1.698011
7.040816,3.450509,0.6737188,1.831254
7.744898,4.198224,0.4345852,1.586222
8.44898,4.606537,0.2751168,1.267172
9.153061,4.827415,0.1809596,1.013554
9.857143,4.967088,0.126846,0.8254683
10.56122,5.061723,0.0929757,0.6843381
11.26531,5.1332,0.07061891,0.5762351
11.96939,5.192111,0.0549571,0.4917534
12.67347,5.243445,0.04369235,0.4247226
13.37755,5.290132,0.03538338,0.3704248
14.08163,5.332311,0.02919598,0.3268484
14.78571,5.36719,0.02475843,0.2946867
15.4898,5.409233,0.02043606,0.2596262
16.19388,5.444592,0.01739346,0.2344707
16.89796,5.477875,0.01483386,0.2130759
17.60204,5.509387,0.01285847,0.1945634
18.30612,5.539442,0.01114277,0.1783775
19.0102,5.567873,0.009838119,0.1647428
19.71429,5.595117,0.008639225,0.1526568
20.41837,5.620788,0.007593658,0.1420108
21.12245,5.64501,0.006791187,0.1326873
21.82653,5.665968,0.006123468,0.1252437
22.53061,5.689622,0.005343517,0.1174205
23.23469,5.710752,0.004893957,0.1108956
23.93878,5.731153,0.004283301,0.1046839
24.64286,5.749631,0.003893903,0.1001971
25.34694,5.767716,0.003578538,0.09568628
26.05102,5.784522,0.003148553,0.09166584
26.7551,5.799983,0.002879639,0.08853838
27.45918,5.815097,0.002651908,0.08539678
28.16327,5.828891,0.00233898,0.08267704
28.86735,5.841434,0.002143843,0.08057621
29.57143,5.853612,0.0019773,0.07847455
30.27551,5.864591,0.001749662,0.07666049
30.97959,5.874362,0.00160131,0.07535271
31.68367,5.883638,0.001478931,0.07406303
32.38776,5.891986,0.001315783,0.072914
33.09184,5.899155,0.001199209,0.07221177
33.79592,5.905573,0.001111982,0.07152496
34.5,5.911467,0.001011256,0.07088443
