z,U_0,U_1,U_2
0,0,0,0
0.7040816,0.3767132,-0.3463508,-0.0369375
1.408163,0.7934115,-0.323034,-0.1428184
2.112245,1.348211,-0.2866115,-0.3009158
2.816327,2.097041,-0.2249034,-0.451735
3.520408,2.892935,-0.1333298,-0.5133192
4.22449,3.520827,-0.01220744,-0.447473
4.928571,3.9739,0.02927108,-0.3070434
5.632653,4.299519,0.01628445,-0.2044703
6.336735,4.547611,-0.0004905798,-0.1326648
7.040816,4.72245,-0.01122879,-0.08708068
7.744898,4.85503,-0.01651037,-0.05515007
8.44898,4.959961,-0.0178611,-0.03200504
9.153061,5.04606,-0.01684709,-0.01473877
9.857143,5.118871,-0.01466573,-0.001529457
10.56122,5.18171,-0.01202839,0.008715055
11.26531,5.236849,-0.009339715,0.01673064
11.96939,5.285868,-0.006764756,0.02303823
12.67347,5.329977,-0.004420804,0.02798849
13.37755,5.37023,-0.002353584,0.03186404
14.08163,5.40699,-0.0005851391,0.03485528
14.78571,5.439437,0.0007973937,0.03700361
15.4898,5.47336,0.002066041,0.03891728
16.19388,5.503506,0.002911546,0.04009174
16.89796,5.531898,0.003456988,0.04084485
17.60204,5.558909,0.003891485,0.04146334
18.30612,5.5846,0.004211854,0.04187685
19.0102,5.608973,0.004354845,0.04219584
19.71429,5.632228,0.004390003,0.04229439
20.41837,5.654431,0.004314258,0.04224134
21.12245,5.675537,0.004244731,0.04224825
21.82653,5.695251,0.004142946,0.04221744
22.53061,5.714662,0.003891249,0.04197604
23.23469,5.732854,0.003748651,0.04196667
23.93878,5.750664,0.003530642,0.041859
24.64286,5.766711,0.003315636,0.04173077
25.34694,5.78238,0.00313715,0.04173242
26.05102,5.797518,0.002865374,0.041598
26.7551,5.81088,0.002672877,0.04164243
27.45918,5.824054,0.002495807,0.04173126
28.16327,5.836627,0.002254637,0.04170331
28.86735,5.847415,0.002101517,0.0418389
29.57143,5.858067,0.001957887,0.04199965
30.27551,5.868156,0.001775107,0.04209437
30.97959,5.8765,0.00166668,0.04230367
31.68367,5.884621,0.001571304,0.04254188
32.38776,5.89236,0.0014537,0.04274555
33.09184,5.898431,0.001393563,0.04299309
33.79592,5.90407,0.00135681,0.04327295
34.5,5.90964,0.001312478,0.04353453
