z,p,k,epsilon
0,4.459162,0.6939975,4.997054
0.7040816,3.985396,0.8144216,0.2619178
1.408163,3.743776,1.00982,0.263521
2.112245,3.905423,1.22033,0.3062668
2.816327,4.333099,1.446839,0.3656201
3.520408,4.823169,1.681865,0.4344064
4.22449,5.178912,1.92918,0.5100129
4.928571,5.16465,2.201242,0.5968675
5.632653,4.374211,2.491645,0.6957897
6.336735,2.575144,2.673589,0.7424656
7.040816,0.4811088,2.498183,0.6075177
7.744898,-0.9456826,1.902438,0.3156466
8.44898,-1.385118,1.379531,0.1456355
9.153061,-1.417642,1.040327,0.07304263
9.857143,-1.290536,0.8303388,0.04175242
10.56122,-1.152692,0.7008075,0.02753523
11.26531,-1.026913,0.6188075,0.02027358
11.96939,-0.9182483,0.5649042,0.01608916
12.67347,-0.8260742,0.5284264,0.0134556
13.37755,-0.747293,0.5028325,0.01165929
14.08163,-0.6814672,0.4845615,0.01037533
14.78571,-0.6305777,0.4722613,0.009497242
15.4898,-0.573355,0.4599924,0.00860252
16.19388,-0.5292249,0.4514618,0.007958799
16.89796,-0.4904219,0.444555,0.007426355
17.60204,-0.4565868,0.4387958,0.006975261
18.30612,-0.4255587,0.4337626,0.006577655
19.0102,-0.3980162,0.4294119,0.006229803
19.71429,-0.3727453,0.4254997,0.005917457
20.41837,-0.3491115,0.4219935,0.005640731
21.12245,-0.3271314,0.4188154,0.005393211
21.82653,-0.3090458,0.4161537,0.005187469
22.53061,-0.2897029,0.4131907,0.004963774
23.23469,-0.2751273,0.4106297,0.004774648
23.93878,-0.2568395,0.4080548,0.004590489
24.64286,-0.241593,0.4057928,0.004432096
25.34694,-0.2292732,0.4035934,0.004281893
26.05102,-0.2152961,0.4014766,0.004142592
26.7551,-0.2028108,0.3995192,0.004017544
27.45918,-0.1920821,0.3976046,0.003897632
28.16327,-0.17997,0.3957821,0.00378786
28.86735,-0.1689914,0.3941013,0.003689315
29.57143,-0.1593128,0.392464,0.003594893
30.27551,-0.1485381,0.3909238,0.003508832
30.97959,-0.1385245,0.3895263,0.003432417
31.68367,-0.1297942,0.3881904,0.00336056
32.38776,-0.1205055,0.3869436,0.003294825
33.09184,-0.1111729,0.3858447,0.003237756
33.79592,-0.1027815,0.3848489,0.003186842
34.5,-0.09385732,0.3839153,0.003139418
