z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.351215,2.381427,-0.3651084
1.408163,0.1890315,2.368654,-0.5431965
2.112245,0.5447064,2.374824,-0.5081601
2.816327,0.7862083,2.418815,-0.2952941
3.520408,1.009951,2.503032,0.05153697
4.22449,1.295266,2.620851,0.4926166
4.928571,1.748422,2.735678,0.9715812
5.632653,2.408768,2.747206,1.361021
6.336735,3.200193,2.592922,1.50356
7.040816,3.803114,2.414458,1.361534
7.744898,4.171223,2.280581,1.166736
8.44898,4.393059,2.190232,0.9788761
9.153061,4.54559,2.137093,0.8205437
9.857143,4.649833,2.10979,0.6902197
10.56122,4.725695,2.098113,0.5856567
11.26531,4.784884,2.095389,0.5022418
11.96939,4.833792,2.097454,0.4348866
12.67347,4.876647,2.102249,0.3803718
13.37755,4.915778,2.108625,0.3356185
14.08163,4.951661,2.115733,0.2990823
14.78571,4.982727,2.122779,0.2707231
15.4898,5.017125,2.131208,0.2423886
16.19388,5.047371,2.139194,0.2207532
16.89796,5.076915,2.147133,0.2019943
17.60204,5.104308,2.154943,0.1859377
18.30612,5.131019,2.162715,0.1716106
19.0102,5.15625,2.170274,0.1594407
19.71429,5.180126,2.177585,0.1487787
20.41837,5.203303,2.184734,0.139105
21.12245,5.225093,2.19159,0.130584
21.82653,5.242399,2.197146,0.1242863
22.53061,5.264515,2.204339,0.1166865
23.23469,5.28467,2.210825,0.1101997
23.93878,5.302612,2.216586,0.1045733
24.64286,5.319436,2.222231,0.1003391
25.34694,5.33581,2.227637,0.09604818
26.05102,5.351014,2.232708,0.09208641
26.7551,5.36513,2.237462,0.08902264
27.45918,5.37886,2.242059,0.08589499
28.16327,5.391347,2.246256,0.08308062
28.86735,5.402805,2.250118,0.08088773
29.57143,5.413859,2.253822,0.07866956
30.27551,5.423781,2.257143,0.07666484
30.97959,5.432699,2.260131,0.07513722
31.68367,5.441091,2.262905,0.0736014
32.38776,5.448632,2.265394,0.07209792
33.09184,5.455162,2.267546,0.07103636
33.79592,5.460907,2.269378,0.07003938
34.5,5.466171,2.271066,0.06905626
