z,p,k,epsilon
0,-2.440251,0.03528316,0.05726829
0.7040816,-2.425696,0.1122375,0.01511168
1.408163,-2.415963,0.1598597,0.01764315
2.112245,-2.408863,0.1994274,0.02079701
2.816327,-2.405009,0.2309178,0.02402971
3.520408,-2.408281,0.252442,0.02749853
4.22449,-2.413909,0.262038,0.03222387
4.928571,-2.421173,0.2579497,0.04130767
5.632653,-2.401422,0.2845214,0.1569772
6.336735,-2.172847,0.5794598,0.5398622
7.040816,-2.054934,0.6754079,0.1934516
7.744898,-1.97578,0.6920592,0.09677349
8.44898,-1.87042,0.6758182,0.06219687
9.153061,-1.753236,0.6446107,0.04397501
9.857143,-1.638728,0.6112414,0.03276612
10.56122,-1.531454,0.580008,0.02542276
11.26531,-1.431935,0.5523956,0.02039802
11.96939,-1.339451,0.5286084,0.01685967
12.67347,-1.253852,0.5084088,0.01429244
13.37755,-1.174103,0.4913032,0.01237511
14.08163,-1.101902,0.4771405,0.01093332
14.78571,-1.0401,0.4659999,0.009879898
15.4898,-0.9680693,0.455056,0.008898871
16.19388,-0.9086109,0.446651,0.008175247
16.89796,-0.8537598,0.43951,0.007571714
17.60204,-0.801909,0.4333513,0.007060457
18.30612,-0.7531535,0.4280248,0.006623119
19.0102,-0.7083595,0.423439,0.006249036
19.71429,-0.6662814,0.4194344,0.00592363
20.41837,-0.6271002,0.4158282,0.005632459
21.12245,-0.5896372,0.4125722,0.005372315
21.82653,-0.5609236,0.4101006,0.005177164
22.53061,-0.5259505,0.4071368,0.004946967
23.23469,-0.4932696,0.4043625,0.00473503
23.93878,-0.4629754,0.401939,0.004555239
24.64286,-0.4376568,0.39972,0.004395222
25.34694,-0.413536,0.3976057,0.004244897
26.05102,-0.3897117,0.3955994,0.004106896
26.7551,-0.3689712,0.3937276,0.00398217
27.45918,-0.3491613,0.3919202,0.003863424
28.16327,-0.3297893,0.3902144,0.003755486
28.86735,-0.3123407,0.3886352,0.003657979
29.57143,-0.2951364,0.3871121,0.003565199
30.27551,-0.2775682,0.3856895,0.003481218
30.97959,-0.2611767,0.3843939,0.003406068
31.68367,-0.2450765,0.383171,0.003335961
32.38776,-0.2289987,0.3820391,0.003272273
33.09184,-0.2108162,0.381032,0.003216376
33.79592,-0.1894209,0.3801442,0.003167131
34.5,-0.1668343,0.3793197,0.003121652
