z,p,k,epsilon
0,3.591289,0.4067775,2.242565
0.7040816,3.611781,0.8080542,0.2583557
1.408163,3.60494,0.9944895,0.2529091
2.112245,3.730628,1.033103,0.2192506
2.816327,3.799342,1.001305,0.1730336
3.520408,3.659646,0.9360949,0.1294804
4.22449,3.345197,0.8505647,0.09289516
4.928571,2.951986,0.7735958,0.06765385
5.632653,2.596115,0.713542,0.0512063
6.336735,2.272758,0.6664067,0.04022719
7.040816,1.979224,0.6286934,0.03256925
7.744898,1.715081,0.597829,0.0270216
8.44898,1.479541,0.5721395,0.02287568
9.153061,1.271118,0.550335,0.01968105
9.857143,1.088403,0.5318725,0.01718631
10.56122,0.9293924,0.5161832,0.01520722
11.26531,0.7920023,0.502749,0.0136092
11.96939,0.6733385,0.4911649,0.01229547
12.67347,0.571037,0.4811612,0.01120369
13.37755,0.4825567,0.4723605,0.01027654
14.08163,0.4077541,0.4647847,0.009499886
14.78571,0.3500842,0.4587662,0.008896827
15.4898,0.2867948,0.4519562,0.008235595
16.19388,0.2398323,0.4465648,0.007721167
16.89796,0.1996647,0.4417665,0.007271565
17.60204,0.1647544,0.4373474,0.006870473
18.30612,0.1349055,0.4332816,0.006509735
19.0102,0.1107358,0.429548,0.006186221
19.71429,0.08953893,0.4260857,0.005892651
20.41837,0.07136349,0.4228798,0.005627381
21.12245,0.05622947,0.4198579,0.005387006
21.82653,0.04509819,0.4172485,0.00518366
22.53061,0.03266422,0.4143595,0.004964475
23.23469,0.0240652,0.4117511,0.004776135
23.93878,0.01527947,0.4092521,0.004597998
24.64286,0.00956356,0.406967,0.004441845
25.34694,0.004696921,0.4046931,0.004291224
26.05102,-3.22682e-05,0.4025468,0.004151477
26.7551,-0.002864797,0.4005402,0.004027427
27.45918,-0.005234463,0.3985497,0.003906828
28.16327,-0.007685889,0.3966754,0.003795903
28.86735,-0.008811507,0.3949419,0.003697894
29.57143,-0.00959562,0.3932332,0.003602752
30.27551,-0.01057608,0.3916285,0.003515312
30.97959,-0.01064338,0.3901833,0.00343934
31.68367,-0.01033284,0.3887827,0.003366821
32.38776,-0.01019384,0.3874646,0.003299582
33.09184,-0.009689058,0.3863249,0.003242945
33.79592,-0.008843287,0.3852717,0.003191417
34.5,-0.008123987,0.3842655,0.003142407
