z,U_0,U_1,U_2
1.817082e-18,1.802984e-17,-2.583632e-17,2.026418e-20
0.7040816,0.523549,-0.115436,0.1356803
1.408163,0.4968054,0.6111222,0.2034233
2.112245,0.446086,1.250571,0.3270998
2.816327,0.3915718,1.805113,0.509041
3.520408,0.3439861,2.324395,0.6806103
4.22449,0.3036298,2.791328,0.7719664
4.928571,0.2705753,3.169918,0.7975341
5.632653,0.2403851,3.492344,0.7862371
6.336735,0.2145563,3.756935,0.7604189
7.040816,0.1910569,3.982721,0.7249606
7.744898,0.1694786,4.177728,0.684138
8.44898,0.1499705,4.347429,0.6408886
9.153061,0.1323405,4.495896,0.5971976
9.857143,0.11652,4.626547,0.5542973
10.56122,0.1024101,4.741914,0.5131239
11.26531,0.08991302,4.844202,0.4742733
11.96939,0.07893002,4.935483,0.4379648
12.67347,0.06933778,5.017329,0.4042844
13.37755,0.06094021,5.09126,0.3732021
14.08163,0.05365716,5.1578,0.3448708
14.78571,0.04759171,5.215298,0.3202785
15.4898,0.04156187,5.274102,0.2952116
16.19388,0.03675255,5.325043,0.2741022
16.89796,0.03275681,5.372047,0.2548475
17.60204,0.02904285,5.415563,0.2373862
18.30612,0.02573517,5.456053,0.2212926
19.0102,0.02285402,5.493188,0.207122
19.71429,0.02041371,5.528025,0.1942764
20.41837,0.01836961,5.560705,0.1825307
21.12245,0.01638818,5.591149,0.171855
21.82653,0.01468944,5.618966,0.1624033
22.53061,0.01337223,5.646014,0.1538222
23.23469,0.01190037,5.670952,0.1460265
23.93878,0.01063571,5.695466,0.1384947
24.64286,0.009656666,5.716745,0.1327775
25.34694,0.008603725,5.737521,0.1270883
26.05102,0.007829358,5.757613,0.1217438
26.7551,0.007088041,5.774913,0.1175718
27.45918,0.006319029,5.791975,0.113423
28.16327,0.005771963,5.808288,0.1096083
28.86735,0.005221514,5.82207,0.1066921
29.57143,0.004655769,5.835682,0.103793
30.27551,0.004240985,5.848644,0.1011108
30.97959,0.003843703,5.85926,0.09919165
31.68367,0.003427724,5.8696,0.09730221
32.38776,0.003094511,5.879525,0.09548974
33.09184,0.002822732,5.887264,0.09434673
33.79592,0.002525521,5.894456,0.09324641
34.5,0.002255739,5.90157,0.09215275
