z,U_0,U_1,U_2
3.634152e-18,9.082828e-17,-1.699936e-17,2.089659e-19
0.7040816,2.505632,-0.4426572,0.1243597
1.408163,2.940212,-0.02373406,0.1894225
2.112245,3.251785,0.3371914,0.2746572
2.816327,3.494,0.6231771,0.3638523
3.520408,3.695846,0.8641744,0.4319693
4.22449,3.873207,1.061549,0.4594332
4.928571,4.02303,1.207475,0.4625178
5.632653,4.153119,1.329306,0.4548979
6.336735,4.260344,1.431035,0.4433277
7.040816,4.352891,1.520784,0.4264233
7.744898,4.434529,1.600192,0.4053046
8.44898,4.507736,1.670094,0.3814267
9.153061,4.574117,1.731329,0.3560545
9.857143,4.634848,1.784748,0.3304952
10.56122,4.69072,1.831255,0.3056617
11.26531,4.742362,1.871833,0.2820718
11.96939,4.790373,1.907475,0.2600506
12.67347,4.835189,1.93898,0.2397879
13.37755,4.877481,1.967184,0.2210735
14.08163,4.916516,1.992033,0.2043602
14.78571,4.94957,2.012234,0.1907135
15.4898,4.988597,2.035215,0.1750669
16.19388,5.021761,2.053905,0.1626345
16.89796,5.053132,2.07111,0.1514595
17.60204,5.082698,2.086817,0.1413918
18.30612,5.110972,2.101477,0.1321148
19.0102,5.13759,2.11487,0.124075
19.71429,5.163079,2.12749,0.1167215
20.41837,5.187296,2.139325,0.1100809
21.12245,5.210041,2.150229,0.1040866
21.82653,5.229949,2.159634,0.09910879
22.53061,5.252569,2.170326,0.09387225
23.23469,5.271964,2.179225,0.08957873
23.93878,5.290881,2.18802,0.08544188
24.64286,5.308134,2.195784,0.08230196
25.34694,5.32472,2.203198,0.07922934
26.05102,5.340717,2.210448,0.0763276
26.7551,5.355051,2.216764,0.07411072
27.45918,5.368931,2.222851,0.0719415
28.16327,5.382111,2.228711,0.06993909
28.86735,5.393721,2.233743,0.06844686
29.57143,5.404931,2.238581,0.06699274
30.27551,5.41546,2.243184,0.06565112
30.97959,5.424522,2.247055,0.06473354
31.68367,5.433089,2.25069,0.06386178
32.38776,5.441128,2.254143,0.06304007
33.09184,5.447813,2.256954,0.06257296
33.79592,5.45377,2.259424,0.06213398
34.5,5.459471,2.261802,0.0617016
