z,p,k,epsilon
0,3.880378,0.6317376,4.340606
0.7040816,3.724071,1.0337,0.3500273
1.408163,3.638849,1.199815,0.305834
2.112245,3.854041,1.304719,0.2893928
2.816327,4.223101,1.443109,0.2959383
3.520408,4.4597,1.598865,0.3118371
4.22449,4.197427,1.718768,0.319156
4.928571,3.18275,1.728294,0.2938488
5.632653,1.764037,1.557194,0.2169878
6.336735,0.707647,1.289805,0.1357456
7.040816,0.04809224,1.05296,0.08377794
7.744898,-0.2312501,0.8618712,0.05228352
8.44898,-0.3660682,0.7300347,0.03524571
9.153061,-0.4192601,0.6404617,0.02569631
9.857143,-0.433414,0.5805896,0.02007966
10.56122,-0.4274895,0.5398251,0.01650676
11.26531,-0.4117277,0.5113454,0.01407938
11.96939,-0.3908869,0.4908231,0.01233749
12.67347,-0.3687825,0.4756204,0.01102777
13.37755,-0.3465858,0.46397,0.009999916
14.08163,-0.3257093,0.4549358,0.009180949
14.78571,-0.3058224,0.4480979,0.008547842
15.4898,-0.2862658,0.4415229,0.00792636
16.19388,-0.2668699,0.4363874,0.007431588
16.89796,-0.2520665,0.4320239,0.0070037
17.60204,-0.2350847,0.4281131,0.0066224
18.30612,-0.2207644,0.4246323,0.006283689
19.0102,-0.2072598,0.4215325,0.005983535
19.71429,-0.193676,0.4186851,0.005712379
20.41837,-0.1822543,0.416045,0.005465028
21.12245,-0.1702768,0.4135637,0.005238911
21.82653,-0.1612985,0.4116325,0.00506671
22.53061,-0.1494841,0.4092147,0.004859185
23.23469,-0.1398448,0.4069005,0.004666272
23.93878,-0.1300712,0.4048256,0.004501026
24.64286,-0.1211565,0.4029028,0.004352426
25.34694,-0.1135205,0.4010298,0.004211676
26.05102,-0.1050217,0.3992056,0.004081133
26.7551,-0.09752959,0.3974887,0.003962504
27.45918,-0.09074855,0.3958133,0.003849056
28.16327,-0.08325252,0.3942018,0.003745119
28.86735,-0.07666218,0.3926948,0.003650788
29.57143,-0.07062407,0.3912324,0.003560777
30.27551,-0.06412953,0.3898474,0.003478896
30.97959,-0.05818307,0.3885734,0.003405333
31.68367,-0.05265098,0.3873613,0.003336499
32.38776,-0.04667718,0.3862282,0.003273801
33.09184,-0.04108937,0.3852122,0.003218596
33.79592,-0.03630504,0.3842966,0.003169664
34.5,-0.03150864,0.3834415,0.003124421
