z,U_0,U_1,U_2
3.63404e-18,-2.284559e-17,2.110591e-17,5.045331e-20
0.7040816,-0.774022,0.1577327,0.08374966
1.408163,-0.7819334,0.152953,0.1520164
2.112245,-0.727851,0.1584177,0.2171996
2.816327,-0.6397751,0.1594585,0.2746898
3.520408,-0.4942961,0.1583942,0.3131783
4.22449,-0.2707941,0.1499363,0.3198743
4.928571,0.03937213,0.1247161,0.2911084
5.632653,0.5649367,0.04246234,0.162949
6.336735,3.100084,0.03216176,-0.1085756
7.040816,3.812555,0.02697029,-0.1644095
7.744898,4.252221,0.001210192,-0.1910085
8.44898,4.574475,-0.0120966,-0.1916357
9.153061,4.803283,-0.01669512,-0.1805004
9.857143,4.957086,-0.01722507,-0.1648506
10.56122,5.065259,-0.01614968,-0.1482256
11.26531,5.146348,-0.01452433,-0.1321627
11.96939,5.211385,-0.01279056,-0.117169
12.67347,5.266189,-0.01114562,-0.1033702
13.37755,5.314477,-0.009659141,-0.09065676
14.08163,5.357053,-0.008371137,-0.07930291
14.78571,5.391679,-0.007320062,-0.070141
15.4898,5.432727,-0.006221053,-0.05936867
16.19388,5.466731,-0.005352809,-0.05097692
16.89796,5.498368,-0.004563182,-0.04342359
17.60204,5.527995,-0.003935147,-0.03658908
18.30612,5.556176,-0.003324489,-0.0304052
19.0102,5.582671,-0.002935467,-0.02500291
19.71429,5.607989,-0.002522484,-0.02008835
20.41837,5.631784,-0.002152696,-0.01564278
21.12245,5.654166,-0.001886961,-0.01166282
21.82653,5.673495,-0.001636007,-0.008385435
22.53061,5.695751,-0.001354088,-0.004931406
23.23469,5.714921,-0.001211306,-0.001857798
23.93878,5.733201,-0.001055576,0.0009437122
24.64286,5.750141,-0.0008889141,0.003181815
25.34694,5.766428,-0.0007965931,0.005538267
26.05102,5.781631,-0.0006909776,0.007583804
26.7551,5.795689,-0.0005901714,0.009441659
27.45918,5.809253,-0.0005280229,0.01136071
28.16327,5.821714,-0.0004547004,0.01300629
28.86735,5.8331,-0.000385442,0.01454442
29.57143,5.844025,-0.0003413653,0.01612211
30.27551,5.853941,-0.0002898803,0.01750473
30.97959,5.862838,-0.0002347443,0.01880609
31.68367,5.871184,-0.0002014894,0.02015299
32.38776,5.87874,-0.0001651645,0.02140831
33.09184,5.885335,-0.0001155063,0.0225228
33.79592,5.89118,-8.835676e-05,0.02360147
34.5,5.896574,-5.839013e-05,0.02459102
