z,p,k,epsilon
0,-2.96835,0.1710439,0.6114315
0.7040816,-2.927416,0.3921103,0.0841527
1.408163,-2.964854,0.5187916,0.07818341
2.112245,-3.065364,0.6185964,0.08405077
2.816327,-3.243117,0.6882743,0.09094679
3.520408,-3.485639,0.7208068,0.09339912
4.22449,-3.671787,0.74395,0.09678205
4.928571,-3.760066,0.7998157,0.1136479
5.632653,-3.801777,0.9268295,0.1648897
6.336735,-3.793149,1.179666,0.3064441
7.040816,-3.721116,1.596864,0.6569376
7.744898,-3.542519,1.847296,1.060025
8.44898,-3.224933,1.29216,0.5936358
9.153061,-2.925673,0.9054365,0.1876638
9.857143,-2.654316,0.8265202,0.09379377
10.56122,-2.407802,0.7810845,0.06088098
11.26531,-2.181719,0.733211,0.04336289
11.96939,-1.975778,0.6846753,0.03227013
12.67347,-1.789581,0.639314,0.02480803
13.37755,-1.621452,0.5991395,0.01963483
14.08163,-1.470766,0.5651938,0.01604206
14.78571,-1.341135,0.5380993,0.01356616
15.4898,-1.215223,0.5129358,0.01151882
16.19388,-1.106639,0.4936629,0.01009993
16.89796,-1.00963,0.4776595,0.008996707
17.60204,-0.9221972,0.464402,0.008128136
18.30612,-0.8427141,0.4534643,0.007440081
19.0102,-0.7731073,0.4444289,0.006881364
19.71429,-0.7094116,0.4368312,0.006419457
20.41837,-0.6510411,0.430265,0.006023092
21.12245,-0.5969681,0.4246539,0.005685365
21.82653,-0.5494078,0.419886,0.005398656
22.53061,-0.5081883,0.4156485,0.005145821
23.23469,-0.4685613,0.4118141,0.004916798
23.93878,-0.4285159,0.4080436,0.004693231
24.64286,-0.3967937,0.4050445,0.004516987
25.34694,-0.3655944,0.4021383,0.00434684
26.05102,-0.3354413,0.399374,0.004186586
26.7551,-0.3102966,0.3970394,0.004054477
27.45918,-0.2853347,0.3947382,0.003924593
28.16327,-0.2611418,0.3925579,0.003803082
28.86735,-0.2405264,0.3906999,0.003702524
29.57143,-0.2200438,0.3888622,0.003603273
30.27551,-0.2000524,0.3871182,0.003510135
30.97959,-0.1827757,0.3856587,0.003434296
31.68367,-0.1656521,0.3842303,0.003360313
32.38776,-0.1485624,0.3828608,0.003289801
33.09184,-0.1336907,0.3817672,0.003234644
33.79592,-0.1191572,0.3807375,0.003182944
34.5,-0.1046414,0.3797191,0.003131836
