z,U_0,U_1,U_2
0,0,0,0
0.7040816,0.5935866,0.5935074,-0.00306217
1.408163,1.041365,1.047503,0.03467607
2.112245,1.369305,1.370536,0.1239313
2.816327,1.623702,1.613878,0.2563555
3.520408,1.863557,1.841021,0.4070316
4.22449,2.10732,2.076207,0.5291028
4.928571,2.333477,2.303265,0.6003678
5.632653,2.528987,2.507029,0.6371488
6.336735,2.705643,2.699105,0.6453682
7.040816,2.857856,2.866406,0.6349102
7.744898,2.990506,3.012566,0.6108288
8.44898,3.105991,3.138904,0.5786715
9.153061,3.206857,3.247701,0.542344
9.857143,3.295053,3.341295,0.5050356
10.56122,3.372592,3.422103,0.4685733
11.26531,3.441251,3.492369,0.4338324
11.96939,3.502489,3.553959,0.401261
12.67347,3.557489,3.608438,0.3712607
13.37755,3.607529,3.657264,0.3435914
14.08163,3.65248,3.700592,0.3187527
14.78571,3.692826,3.739098,0.2965411
15.4898,3.731711,3.775797,0.2753456
16.19388,3.766754,3.808623,0.2567086
16.89796,3.799239,3.839039,0.2399229
17.60204,3.829477,3.866975,0.2244571
18.30612,3.857946,3.893433,0.2104323
19.0102,3.88396,3.917577,0.1980572
19.71429,3.908509,3.940049,0.1866157
20.41837,3.931652,3.961375,0.1762541
21.12245,3.953428,3.981304,0.1667378
21.82653,3.97104,3.997408,0.159346
22.53061,3.991597,4.01639,0.151222
23.23469,4.010668,4.033739,0.1436804
23.93878,4.028428,4.049694,0.1366788
24.64286,4.043474,4.063318,0.1313657
25.34694,4.058453,4.077027,0.1261054
26.05102,4.073095,4.090653,0.1211688
26.7551,4.085402,4.101771,0.1172003
27.45918,4.097762,4.113085,0.1132673
28.16327,4.109668,4.124095,0.1096162
28.86735,4.119503,4.132926,0.1067387
29.57143,4.129382,4.141904,0.1038829
30.27551,4.13896,4.150706,0.1012036
30.97959,4.14643,4.157331,0.09920306
31.68367,4.153925,4.164035,0.09721492
32.38776,4.161372,4.170818,0.09528408
33.09184,4.166686,4.17544,0.09399806
33.79592,4.171858,4.179927,0.09273417
34.5,4.177102,4.184616,0.09150678
