z,U_0,U_1,U_2
0,0,0,0
0.7040816,2.920832,-0.1717467,-0.1535209
1.408163,2.969403,0.1565325,-0.2042367
2.112245,3.007358,0.4020617,-0.1177967
2.816327,3.051416,0.6215474,0.09564291
3.520408,3.098783,0.912519,0.4080678
4.22449,3.152566,1.339351,0.6925329
4.928571,3.213662,1.768371,0.8341616
5.632653,3.275945,2.127585,0.9027736
6.336735,3.335074,2.441527,0.9190512
7.040816,3.3906,2.707112,0.8944605
7.744898,3.442105,2.927588,0.8443543
8.44898,3.490039,3.107396,0.7806824
9.153061,3.534834,3.253206,0.7118327
9.857143,3.576757,3.371267,0.6440895
10.56122,3.616059,3.467397,0.5806201
11.26531,3.652943,3.546457,0.5227252
11.96939,3.687654,3.612575,0.4707558
12.67347,3.720331,3.668702,0.4246816
13.37755,3.75142,3.717208,0.3836066
14.08163,3.780246,3.758835,0.3480586
14.78571,3.804702,3.791972,0.319842
15.4898,3.833726,3.828881,0.2882929
16.19388,3.858489,3.858709,0.2640582
16.89796,3.8817,3.885943,0.2427757
17.60204,3.903729,3.910762,0.2237917
18.30612,3.92479,3.933712,0.2068418
19.0102,3.944524,3.95475,0.1921915
19.71429,3.963455,3.974614,0.1790529
20.41837,3.981304,3.993217,0.1673074
21.12245,3.998091,4.010336,0.1567782
21.82653,4.012818,4.025092,0.1482258
22.53061,4.028774,4.041287,0.1395555
23.23469,4.043199,4.055419,0.1320677
23.93878,4.057508,4.069822,0.1246361
24.64286,4.070175,4.082349,0.1192617
25.34694,4.082458,4.094283,0.1138881
26.05102,4.094036,4.105811,0.1088781
26.7551,4.104516,4.116024,0.1049571
27.45918,4.114731,4.125869,0.1010294
28.16327,4.124215,4.135201,0.09741616
28.86735,4.132648,4.143304,0.09458849
29.57143,4.140837,4.151098,0.09176306
30.27551,4.148361,4.158372,0.08915223
30.97959,4.154882,4.16453,0.08713179
31.68367,4.161084,4.170318,0.08510412
32.38776,4.166791,4.175708,0.08312675
33.09184,4.17154,4.180064,0.08169812
33.79592,4.175794,4.183869,0.08032207
34.5,4.179809,4.187463,0.07898775
