z,p,k,epsilon
0,-2.464874,0.03060664,0.04633142
0.7040816,-2.448746,0.1177587,0.02328093
1.408163,-2.468978,0.1422303,0.02399791
2.112245,-2.500031,0.1331708,0.01740241
2.816327,-2.521652,0.1302169,0.01339907
3.520408,-2.526932,0.1385189,0.0141929
4.22449,-2.52041,0.1619383,0.0329081
4.928571,-2.433923,0.4437147,0.5061896
5.632653,-2.449302,0.5858652,0.337239
6.336735,-2.40949,0.7930722,0.4668561
7.040816,-2.196608,0.8520497,0.2971407
7.744898,-2.036382,0.8478472,0.1675391
8.44898,-1.87945,0.8128357,0.1083471
9.153061,-1.737009,0.7530286,0.07270024
9.857143,-1.607775,0.6897679,0.04999075
10.56122,-1.489517,0.6338971,0.0354858
11.26531,-1.381234,0.58785,0.0261798
11.96939,-1.282242,0.5508348,0.02012911
12.67347,-1.191942,0.5213034,0.01608303
13.37755,-1.109111,0.4976411,0.01329268
14.08163,-1.034164,0.4789261,0.01134092
14.78571,-0.9689123,0.464932,0.01001908
15.4898,-0.9014761,0.4517926,0.008861737
16.19388,-0.8421105,0.4421177,0.008053139
16.89796,-0.7884125,0.4342007,0.007406878
17.60204,-0.7376054,0.4276732,0.006880922
18.30612,-0.6908051,0.4222766,0.00644557
19.0102,-0.6485347,0.4177857,0.006080615
19.71429,-0.6088218,0.4139663,0.005767134
20.41837,-0.5727804,0.4105934,0.005488857
21.12245,-0.5395913,0.4076239,0.005242255
21.82653,-0.514623,0.4054031,0.005057885
22.53061,-0.480767,0.4027617,0.004840447
23.23469,-0.4524086,0.4003529,0.004646186
23.93878,-0.4245871,0.398145,0.00447004
24.64286,-0.4020999,0.3961826,0.00431887
25.34694,-0.380647,0.3942956,0.004176164
26.05102,-0.3597341,0.3925124,0.004045087
26.7551,-0.3426061,0.3908407,0.003926602
27.45918,-0.3262968,0.3892175,0.003813415
28.16327,-0.310819,0.3876853,0.003710392
28.86735,-0.2986497,0.3862564,0.003617261
29.57143,-0.2870777,0.384876,0.00352849
30.27551,-0.275623,0.3835837,0.003448021
30.97959,-0.2669464,0.3823968,0.00337595
31.68367,-0.2590835,0.3812791,0.003308696
32.38776,-0.2501298,0.3802419,0.00324752
33.09184,-0.2393582,0.3793097,0.003193765
33.79592,-0.2253102,0.3784921,0.003146438
34.5,-0.2085745,0.3777272,0.003102629
