z,p,k,epsilon
0,0.949013,0.7256781,5.343469
0.7040816,0.894481,0.5677633,0.1631388
1.408163,0.8532674,0.6843857,0.1309062
2.112245,0.9097399,0.789331,0.1277399
2.816327,0.9730334,0.9324137,0.1398047
3.520408,0.9023521,1.117222,0.1659735
4.22449,0.5127603,1.299976,0.1985287
4.928571,-0.2623035,1.370201,0.2051067
5.632653,-0.971423,1.279318,0.1668348
6.336735,-1.388975,1.10706,0.1150813
7.040816,-1.500516,0.9311088,0.07505609
7.744898,-1.464784,0.7857628,0.04854001
8.44898,-1.36805,0.6796151,0.03323712
9.153061,-1.251733,0.6064706,0.02449125
9.857143,-1.133845,0.556712,0.01926461
10.56122,-1.025876,0.5231337,0.01599474
11.26531,-0.9300073,0.4999002,0.01379006
11.96939,-0.8468228,0.4831969,0.01219525
12.67347,-0.7738234,0.4706577,0.010976
13.37755,-0.7090489,0.4608493,0.01000179
14.08163,-0.6528609,0.4530828,0.009215657
14.78571,-0.6097695,0.4474186,0.00863203
15.4898,-0.558503,0.4411644,0.00798451
16.19388,-0.5180756,0.4364201,0.007490585
16.89796,-0.4829693,0.4322998,0.007062917
17.60204,-0.4504071,0.428617,0.006686941
18.30612,-0.4206371,0.4252128,0.006346256
19.0102,-0.3940727,0.4221306,0.006041534
19.71429,-0.3696081,0.4192295,0.005762364
20.41837,-0.3474618,0.4165363,0.005511864
21.12245,-0.3260121,0.4140011,0.005284356
21.82653,-0.3090698,0.4119061,0.005101359
22.53061,-0.2888988,0.4092921,0.004881112
23.23469,-0.2741932,0.4070873,0.0047027
23.93878,-0.2564709,0.404872,0.00453122
24.64286,-0.2417376,0.4028418,0.0043777
25.34694,-0.2295968,0.400865,0.004233854
26.05102,-0.2157952,0.3989529,0.004102187
26.7551,-0.2036888,0.3971342,0.003979632
27.45918,-0.1932192,0.3953649,0.003863765
28.16327,-0.1814404,0.3936818,0.003759228
28.86735,-0.1708643,0.3920849,0.003661765
29.57143,-0.1614538,0.3905453,0.00357
30.27551,-0.1509407,0.3891089,0.003487981
30.97959,-0.1410992,0.3877587,0.003411838
31.68367,-0.1323428,0.3864893,0.003341777
32.38776,-0.1228481,0.385326,0.003279331
33.09184,-0.1132042,0.3842471,0.003221951
33.79592,-0.1042635,0.3832949,0.003172223
34.5,-0.09431221,0.3824303,0.003127541
