z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.2577989,2.264622,-0.01217448
1.408163,0.2538291,2.468422,-0.04255872
2.112245,0.6153903,2.64878,-0.01185792
2.816327,0.8471075,2.807382,0.09216294
3.520408,1.020039,2.946486,0.2671969
4.22449,1.19247,3.080316,0.5034727
4.928571,1.444651,3.221786,0.7863304
5.632653,1.864372,3.362062,1.034984
6.336735,2.394474,3.457661,1.104826
7.040816,2.830972,3.5139,0.9887803
7.744898,3.099451,3.562375,0.8182302
8.44898,3.254469,3.605538,0.674423
9.153061,3.354643,3.644016,0.5649217
9.857143,3.428391,3.677994,0.4828581
10.56122,3.488749,3.708571,0.4199987
11.26531,3.541137,3.736724,0.3705432
11.96939,3.588151,3.763126,0.3304655
12.67347,3.631074,3.788161,0.2973171
13.37755,3.670834,3.812173,0.2692402
14.08163,3.707069,3.834751,0.2456578
14.78571,3.737188,3.854063,0.2273824
15.4898,3.772768,3.877346,0.2069982
16.19388,3.802586,3.897556,0.1914875
16.89796,3.830473,3.916829,0.1778864
17.60204,3.856794,3.93543,0.1656313
18.30612,3.881601,3.953267,0.1547709
19.0102,3.90485,3.970373,0.1451205
19.71429,3.926971,3.986907,0.1364819
20.41837,3.947799,4.002657,0.1287557
21.12245,3.967318,4.017615,0.1216919
21.82653,3.982911,4.02971,0.1164406
22.53061,4.002852,4.045388,0.1098764
23.23469,4.020088,4.058993,0.10469
23.93878,4.035748,4.071449,0.09977339
24.64286,4.050361,4.083329,0.09593433
25.34694,4.064398,4.094652,0.09232883
26.05102,4.077418,4.105263,0.08884381
26.7551,4.089551,4.115267,0.08604814
27.45918,4.1012,4.124791,0.08341271
28.16327,4.111772,4.133504,0.08092111
28.86735,4.121602,4.141658,0.07893005
29.57143,4.130948,4.149334,0.07707149
30.27551,4.13928,4.1562,0.07533252
30.97959,4.146973,4.162571,0.07397668
31.68367,4.154086,4.168383,0.07273515
32.38776,4.160373,4.173502,0.07153625
33.09184,4.166114,4.178203,0.07067107
33.79592,4.171025,4.182144,0.06993366
34.5,4.175383,4.185613,0.06924243
