z,U_0,U_1,U_2
0,0,0,0
0.7040816,2.270695,-0.09186976,0.1101429
1.408163,2.443375,0.390688,0.2040228
2.112245,2.591161,0.8215007,0.3387267
2.816327,2.732448,1.225303,0.5044857
3.520408,2.864511,1.630883,0.6340342
4.22449,2.985703,1.991684,0.6834365
4.928571,3.091925,2.278012,0.6863171
5.632653,3.186906,2.514398,0.6664209
6.336735,3.267923,2.706797,0.6392459
7.040816,3.338737,2.870045,0.6068246
7.744898,3.40131,3.010453,0.5713888
8.44898,3.45722,3.132107,0.5344804
9.153061,3.507699,3.237974,0.497312
9.857143,3.553699,3.330417,0.4607274
10.56122,3.595923,3.411255,0.4255999
11.26531,3.634926,3.482206,0.3924198
11.96939,3.671139,3.544891,0.3615415
12.67347,3.704953,3.600552,0.3329895
13.37755,3.736861,3.650539,0.3066
14.08163,3.766446,3.694794,0.2828301
14.78571,3.794337,3.734867,0.2612209
15.4898,3.820698,3.771256,0.2416577
16.19388,3.845952,3.804834,0.223705
16.89796,3.869705,3.835564,0.2077187
17.60204,3.892259,3.863914,0.1931744
18.30612,3.913832,3.890482,0.1799719
19.0102,3.933926,3.91461,0.1684488
19.71429,3.953172,3.937179,0.1578784
20.41837,3.971496,3.958382,0.1483092
21.12245,3.988712,3.977976,0.139717
21.82653,4.002577,3.993588,0.1331723
22.53061,4.018314,4.010938,0.1262227
23.23469,4.034357,4.028658,0.1193445
23.93878,4.050056,4.045933,0.1126337
24.64286,4.062633,4.059521,0.108108
25.34694,4.075312,4.073129,0.1035274
26.05102,4.087685,4.086273,0.09913006
26.7551,4.098104,4.097355,0.09585864
27.45918,4.10871,4.108526,0.09250754
28.16327,4.11888,4.119152,0.08936512
28.86735,4.127277,4.127937,0.08706723
29.57143,4.135817,4.136796,0.08471149
30.27551,4.14405,4.145275,0.08247658
30.97959,4.15045,4.151867,0.08094655
31.68367,4.156942,4.158512,0.07938379
32.38776,4.163342,4.16503,0.0778266
33.09184,4.167916,4.169637,0.0768906
33.79592,4.172391,4.17414,0.07596625
34.5,4.176921,4.178679,0.07502522
