z,p,k,epsilon
0,3.983819,0.4723622,2.806261
0.7040816,3.892127,0.7847548,0.2238996
1.408163,3.857527,0.9764437,0.2228587
2.112245,4.081016,1.089266,0.2228444
2.816327,4.467462,1.20726,0.2323223
3.520408,4.678383,1.303345,0.2376685
4.22449,4.232275,1.234073,0.1886766
4.928571,3.571686,1.064162,0.1238646
5.632653,3.014433,0.9265876,0.0838427
6.336735,2.609915,0.8241247,0.05986229
7.040816,2.241278,0.7492288,0.04511463
7.744898,1.922592,0.6919348,0.035427
8.44898,1.644543,0.6470331,0.02872695
9.153061,1.401703,0.6107809,0.02386657
9.857143,1.190091,0.5813345,0.02026232
10.56122,1.006623,0.5571417,0.01752262
11.26531,0.8487122,0.5369817,0.01538607
11.96939,0.7128709,0.5199894,0.0136802
12.67347,0.5962343,0.5056133,0.01229899
13.37755,0.495924,0.4931993,0.01115195
14.08163,0.4115464,0.4826968,0.01021002
14.78571,0.3468433,0.4744855,0.009491067
15.4898,0.2763926,0.4653363,0.008714006
16.19388,0.2245377,0.4582176,0.008119095
16.89796,0.180326,0.4519882,0.007606457
17.60204,0.1421696,0.4463312,0.007153575
18.30612,0.109797,0.4412028,0.006750433
19.0102,0.08390378,0.4365529,0.006391834
19.71429,0.06126666,0.4323044,0.006069428
20.41837,0.04196485,0.4284262,0.005780499
21.12245,0.02614211,0.4248156,0.005520299
21.82653,0.01471105,0.4217304,0.005301383
22.53061,0.001889183,0.418466,0.005074892
23.23469,-0.006578511,0.4154461,0.004873953
23.93878,-0.01542499,0.4124819,0.004677203
24.64286,-0.02083996,0.4098981,0.004512398
25.34694,-0.02521261,0.4073304,0.004353472
26.05102,-0.02958847,0.4049285,0.004206737
26.7551,-0.031785,0.4027021,0.004076872
27.45918,-0.03341315,0.4004959,0.003950634
28.16327,-0.03525773,0.3984366,0.003834969
28.86735,-0.03552092,0.3965426,0.003732955
29.57143,-0.0353516,0.3946768,0.003633928
30.27551,-0.03546615,0.3929351,0.003543155
30.97959,-0.03454148,0.391373,0.003464377
31.68367,-0.03317605,0.3898597,0.003389161
32.38776,-0.03209597,0.3884401,0.003319497
33.09184,-0.03049423,0.3872171,0.003260874
33.79592,-0.0282985,0.3860874,0.003207526
34.5,-0.02619973,0.3850096,0.00315681
