z,p,k,epsilon
3.634075e-18,-2.944453,0.1663952,0.5866857
0.7040816,-2.897441,0.3930715,0.08447719
1.408163,-2.92749,0.5216834,0.07886305
2.112245,-3.019447,0.6243971,0.08503856
2.816327,-3.200617,0.6970837,0.09224886
3.520408,-3.459566,0.7314467,0.09438432
4.22449,-3.681813,0.748953,0.09449829
4.928571,-3.773149,0.787517,0.1031147
5.632653,-3.836315,0.8917278,0.1385002
6.336735,-3.840479,1.093608,0.2316612
7.040816,-3.794639,1.450508,0.4676514
7.744898,-3.67379,1.868689,0.8985447
8.44898,-3.431277,1.762766,0.9440757
9.153061,-3.131263,1.130526,0.3750445
9.857143,-2.853827,0.8979029,0.1441438
10.56122,-2.601763,0.8292024,0.08113585
11.26531,-2.369232,0.7771963,0.054313
11.96939,-2.154587,0.7256509,0.03906525
12.67347,-1.958278,0.6763767,0.02930708
13.37755,-1.779427,0.6316626,0.02271157
14.08163,-1.617975,0.5931846,0.01820535
14.78571,-1.478366,0.5620503,0.0151385
15.4898,-1.341986,0.5328498,0.01263354
16.19388,-1.223933,0.5103189,0.01092278
16.89796,-1.118126,0.491532,0.009609484
17.60204,-1.022499,0.4759327,0.008589799
18.30612,-0.9353607,0.4630627,0.007794677
19.0102,-0.8588722,0.4524596,0.00715788
19.71429,-0.7887708,0.4435823,0.006638966
20.41837,-0.7244466,0.4359477,0.006198668
21.12245,-0.6647899,0.4294709,0.005828031
21.82653,-0.6122562,0.4240142,0.005516773
22.53061,-0.5658784,0.4191307,0.005240892
23.23469,-0.5220319,0.4148146,0.004996305
23.93878,-0.4785133,0.4106638,0.004762287
24.64286,-0.4433701,0.407356,0.004576863
25.34694,-0.408786,0.4041573,0.004398133
26.05102,-0.3753145,0.4011224,0.004230089
26.7551,-0.3474272,0.3986009,0.004092806
27.45918,-0.3197227,0.3961163,0.003957869
28.16327,-0.2928362,0.3937684,0.003831803
28.86735,-0.2699391,0.391792,0.003728111
29.57143,-0.2471718,0.3898371,0.00362577
30.27551,-0.2249187,0.3879851,0.003529803
30.97959,-0.2057213,0.3864485,0.003451964
31.68367,-0.1866896,0.3849451,0.003376039
32.38776,-0.1676924,0.3835045,0.003303688
33.09184,-0.1511315,0.3823611,0.003247225
33.79592,-0.1349135,0.3812852,0.003194314
34.5,-0.1186984,0.3802207,0.003141998
