z,p,k,epsilon
0,0.7675323,0.6859343,4.91164
0.7040816,0.8379221,0.7539612,0.2761436
1.408163,0.7954335,0.8619797,0.2235381
2.112245,0.6812068,0.8316884,0.1622584
2.816327,0.4829302,0.7895019,0.1177434
3.520408,0.2879044,0.7453273,0.08690649
4.22449,0.1027612,0.7006575,0.06541975
4.928571,-0.05908268,0.6581685,0.05036845
5.632653,-0.1736549,0.6182017,0.03949794
6.336735,-0.2454586,0.5840846,0.0317716
7.040816,-0.2886337,0.5558835,0.02619667
7.744898,-0.3121383,0.5326844,0.02207344
8.44898,-0.3225354,0.5136301,0.01895598
9.153061,-0.3243701,0.4978592,0.01654174
9.857143,-0.3204653,0.4848951,0.01464758
10.56122,-0.3129925,0.4741777,0.01313351
11.26531,-0.3030233,0.4651988,0.0118977
11.96939,-0.2913316,0.457612,0.01087381
12.67347,-0.2788561,0.4511681,0.01001417
13.37755,-0.2660043,0.4455889,0.009278213
14.08163,-0.2536182,0.440806,0.008652734
14.78571,-0.2421002,0.4366654,0.008118263
15.4898,-0.2280946,0.4328813,0.007635912
16.19388,-0.2158585,0.4293989,0.007202592
16.89796,-0.2043288,0.4263235,0.006823276
17.60204,-0.193235,0.4234472,0.006479722
18.30612,-0.1823594,0.4207946,0.006168039
19.0102,-0.1720221,0.418356,0.00589199
19.71429,-0.1622459,0.4160015,0.00563709
20.41837,-0.1528191,0.4137739,0.005402876
21.12245,-0.1436299,0.4116313,0.005186275
21.82653,-0.1358353,0.4098639,0.005015042
22.53061,-0.1278937,0.4079148,0.00483945
23.23469,-0.1194262,0.4058409,0.004654958
23.93878,-0.1112903,0.4037942,0.004474236
24.64286,-0.1042752,0.4020553,0.004336245
25.34694,-0.09723564,0.4002881,0.004198358
26.05102,-0.09057582,0.3985464,0.00406501
26.7551,-0.08424384,0.3969603,0.003953782
27.45918,-0.07797189,0.3953514,0.003842
28.16327,-0.07202007,0.3937835,0.003735216
28.86735,-0.06635963,0.392381,0.003646633
29.57143,-0.0607554,0.3909637,0.00355771
30.27551,-0.05539696,0.389581,0.003472074
30.97959,-0.05016592,0.3884095,0.003404165
31.68367,-0.0449837,0.3872294,0.003336067
32.38776,-0.03985144,0.3860604,0.003268894
33.09184,-0.03538022,0.3851535,0.003219456
33.79592,-0.03091763,0.3842604,0.003171022
34.5,-0.02646914,0.3833652,0.003122547
