z,U_0,U_1,U_2
1.817067e-18,-4.144438e-17,-1.354528e-17,-8.127826e-21
0.7040816,-0.4012486,-0.3806753,-0.0251385
1.408163,0.3788326,-0.3572527,-0.08008268
2.112245,0.9429461,-0.3335091,-0.07200135
2.816327,1.32005,-0.3221324,0.06976121
3.520408,1.604833,-0.3283305,0.321952
4.22449,1.889619,-0.3541029,0.6558184
4.928571,2.282308,-0.3913677,1.032556
5.632653,2.846384,-0.4079779,1.347533
6.336735,3.533316,-0.3553027,1.444735
7.040816,4.118893,-0.2509434,1.297964
7.744898,4.503234,-0.1650767,1.073188
8.44898,4.721279,-0.1070044,0.8570327
9.153061,4.866422,-0.07390656,0.6950463
9.857143,4.968444,-0.0539794,0.5721037
10.56122,5.047628,-0.04090231,0.4789176
11.26531,5.11373,-0.03191093,0.4073236
11.96939,5.171614,-0.02535836,0.3510586
12.67347,5.223668,-0.02050243,0.3060295
13.37755,5.271674,-0.01684186,0.2691571
14.08163,5.315256,-0.01406214,0.2392273
14.78571,5.351338,-0.01199816,0.2168826
15.4898,5.394784,-0.01000799,0.1923291
16.19388,5.431199,-0.008565777,0.1744995
16.89796,5.4654,-0.007322353,0.1592095
17.60204,5.497697,-0.006380047,0.1459288
18.30612,5.528508,-0.005541683,0.134256
19.0102,5.557563,-0.004913252,0.1243909
19.71429,5.585405,-0.004315012,0.1156229
20.41837,5.611644,-0.003784349,0.1078886
21.12245,5.636393,-0.003391676,0.1011166
21.82653,5.657786,-0.00305297,0.09571272
22.53061,5.681947,-0.002636962,0.09003347
23.23469,5.703419,-0.002432431,0.08533556
23.93878,5.724298,-0.002157434,0.08084407
24.64286,5.743116,-0.001908852,0.07764396
25.34694,5.761484,-0.001764162,0.07444183
26.05102,5.778628,-0.001556869,0.07159613
26.7551,5.794378,-0.001395503,0.06943408
27.45918,5.809748,-0.001291379,0.06727168
28.16327,5.823842,-0.001138058,0.06542681
28.86735,5.836656,-0.001023943,0.06405755
29.57143,5.849081,-0.0009487414,0.06269185
30.27551,5.860344,-0.000840915,0.06154241
30.97959,5.870381,-0.0007528028,0.06079082
31.68367,5.8799,-0.0006985713,0.06006355
32.38776,5.888513,-0.0006269522,0.05945612
33.09184,5.895943,-0.000554577,0.05918532
33.79592,5.9026,-0.0005169461,0.05890748
34.5,5.90874,-0.0004735072,0.05865568
