z,U_0,U_1,U_2
0,0,0,0
0.7040816,0.998657,3.207721,-0.3632279
1.408163,0.9562568,3.650102,-0.4709701
2.112245,0.8121963,4.034905,-0.3825172
2.816327,0.609161,4.329002,-0.3267354
3.520408,0.571635,4.481658,-0.4155644
4.22449,0.820246,4.522039,-0.4427424
4.928571,1.069494,4.502833,-0.253581
5.632653,1.117577,4.495427,0.004705388
6.336735,1.024812,4.531942,0.1989085
7.040816,0.882828,4.607443,0.3090329
7.744898,0.7480593,4.695209,0.3628975
8.44898,0.6306446,4.783331,0.3826367
9.153061,0.5327933,4.86626,0.3828231
9.857143,0.452406,4.942456,0.372325
10.56122,0.3865453,5.012361,0.3563337
11.26531,0.3323416,5.076606,0.3378554
11.96939,0.2870596,5.135684,0.318417
12.67347,0.2491287,5.190291,0.2991572
13.37755,0.21698,5.241255,0.2805007
14.08163,0.1900126,5.288176,0.2631398
14.78571,0.1684416,5.328892,0.2476659
15.4898,0.1465766,5.373282,0.2311958
16.19388,0.1295012,5.412186,0.2166514
16.89796,0.114714,5.448524,0.2039587
17.60204,0.1018016,5.483036,0.1915447
18.30612,0.09043393,5.51556,0.1804207
19.0102,0.08077863,5.545898,0.1704052
19.71429,0.07229202,5.574842,0.1609591
20.41837,0.06470602,5.602197,0.1526225
21.12245,0.05800524,5.628041,0.1447128
21.82653,0.0530725,5.648274,0.1388847
22.53061,0.04738302,5.673591,0.1316149
23.23469,0.04224111,5.696757,0.1255548
23.93878,0.03754025,5.718268,0.1196624
24.64286,0.03414252,5.737428,0.1151956
25.34694,0.03074998,5.756044,0.1109907
26.05102,0.02767016,5.77339,0.1068734
26.7551,0.025182,5.789202,0.1036597
27.45918,0.02269208,5.804711,0.100572
28.16327,0.02047206,5.818833,0.0976384
28.86735,0.01863385,5.831591,0.09539715
29.57143,0.01679003,5.844032,0.09324298
30.27551,0.01513723,5.855206,0.09121948
30.97959,0.01378267,5.865152,0.08974421
31.68367,0.01242549,5.874574,0.08837493
32.38776,0.01117181,5.883033,0.08706664
33.09184,0.01018762,5.890382,0.08619627
33.79592,0.009226599,5.896848,0.08544334
34.5,0.008323734,5.902802,0.08470182
