z,U_0,U_1,U_2
0,0,0,0
0.7040816,0.2839904,2.336365,-0.07006729
1.408163,0.2542471,2.855004,-0.1460182
2.112245,0.2353185,3.318982,-0.1948676
2.816327,0.2284545,3.694988,-0.1988332
3.520408,0.235773,3.881271,-0.1847125
4.22449,0.2253438,3.851086,-0.2103816
4.928571,0.1454376,3.716936,-0.2765174
5.632653,0.001483014,3.719306,-0.3400098
6.336735,-0.1817682,3.986152,-0.3294469
7.040816,-0.3318801,4.491319,-0.2410829
7.744898,-0.3925879,4.839025,-0.1193974
8.44898,-0.3896567,5.003134,-0.03096084
9.153061,-0.3622352,5.098016,0.02685036
9.857143,-0.3268407,5.167335,0.06525279
10.56122,-0.2904798,5.223538,0.09063386
11.26531,-0.2561336,5.271758,0.1068671
11.96939,-0.2249252,5.314415,0.1168525
12.67347,-0.1971495,5.352939,0.1223932
13.37755,-0.1725908,5.388548,0.1247829
14.08163,-0.1515513,5.421102,0.1250766
14.78571,-0.1336119,5.450977,0.1238217
15.4898,-0.1171229,5.480813,0.1215562
16.19388,-0.1031998,5.508604,0.1181231
16.89796,-0.09104999,5.535096,0.1140012
17.60204,-0.08058847,5.560541,0.1104441
18.30612,-0.07132801,5.585112,0.1064685
19.0102,-0.06359784,5.608238,0.1026737
19.71429,-0.05674124,5.630638,0.09913369
20.41837,-0.05068787,5.652056,0.09538085
21.12245,-0.04531726,5.672654,0.09215843
21.82653,-0.04075267,5.692029,0.08919029
22.53061,-0.03699364,5.709692,0.08650046
23.23469,-0.0333421,5.727494,0.08395285
23.93878,-0.02952914,5.745998,0.0809907
24.64286,-0.02690832,5.761396,0.07890722
25.34694,-0.02422599,5.77682,0.0769798
26.05102,-0.02169264,5.791826,0.07507097
26.7551,-0.01976781,5.804774,0.07366557
27.45918,-0.01780796,5.817745,0.07231817
28.16327,-0.01599285,5.830171,0.07100788
28.86735,-0.01459188,5.840615,0.07010935
29.57143,-0.01316776,5.851073,0.06924188
30.27551,-0.01182354,5.861133,0.06840441
30.97959,-0.01083179,5.86904,0.06792683
31.68367,-0.009813597,5.876964,0.06747958
32.38776,-0.008801439,5.884841,0.0670287
33.09184,-0.008137005,5.890306,0.06684213
33.79592,-0.007449475,5.895727,0.0666947
34.5,-0.006761945,5.901148,0.06654726
