z,U_0,U_1,U_2
0,0,0,0
0.7040816,2.298353,2.755239,0.1144709
1.408163,1.864727,3.311963,0.04048564
2.112245,1.554964,3.696912,0.04594428
2.816327,1.305273,3.960356,0.07005368
3.520408,1.153697,4.114409,0.06217995
4.22449,1.110636,4.178782,0.09785602
4.928571,1.045527,4.225376,0.1957853
5.632653,0.940779,4.29705,0.2825489
6.336735,0.8142797,4.389557,0.3425966
7.040816,0.7023779,4.491415,0.3723722
7.744898,0.604627,4.592785,0.3838998
8.44898,0.5208244,4.690115,0.3829705
9.153061,0.4498097,4.781234,0.3741998
9.857143,0.3897295,4.865523,0.360722
10.56122,0.3388623,4.942932,0.3446707
11.26531,0.2957229,5.014124,0.3272714
11.96939,0.2588712,5.079658,0.3095305
12.67347,0.2272793,5.140108,0.2920059
13.37755,0.1999193,5.196414,0.2749441
14.08163,0.1766263,5.247724,0.2590682
14.78571,0.1568072,5.294482,0.2443084
15.4898,0.1384667,5.340418,0.2299314
16.19388,0.123052,5.382534,0.216456
16.89796,0.1096434,5.422177,0.2035458
17.60204,0.09777505,5.459057,0.1923069
18.30612,0.08726934,5.494242,0.1814527
19.0102,0.07836559,5.526627,0.1717577
19.71429,0.07034164,5.557318,0.1629543
20.41837,0.06328218,5.586537,0.1543815
21.12245,0.05685214,5.614003,0.1468773
21.82653,0.051203,5.639539,0.1400991
22.53061,0.04655057,5.662452,0.1342467
23.23469,0.04195647,5.685394,0.1286094
23.93878,0.03724844,5.709418,0.1223853
24.64286,0.03396187,5.7288,0.1181357
25.34694,0.03067526,5.748162,0.1138933
26.05102,0.02763519,5.767015,0.1096368
26.7551,0.02520288,5.783056,0.1065108
27.45918,0.02277057,5.799096,0.1033849
28.16327,0.0205555,5.814489,0.1003112
28.86735,0.01874258,5.827349,0.09811836
29.57143,0.01692967,5.84021,0.09592555
30.27551,0.01526046,5.852607,0.09375018
30.97959,0.01391643,5.86239,0.09234028
31.68367,0.0125724,5.872174,0.09093037
32.38776,0.01128497,5.881916,0.08945639
33.09184,0.0103191,5.888771,0.08865359
33.79592,0.009356123,5.895558,0.08786164
34.5,0.008405064,5.902349,0.08705567
