z,U_0,U_1,U_2
0,0,0,0
0.7040816,-0.05427258,2.471314,-0.1536145
1.408163,0.02743032,2.885996,-0.3222863
2.112245,0.01590714,3.452871,-0.399569
2.816327,-0.007992161,4.056909,-0.4825125
3.520408,0.07304221,4.365723,-0.5992708
4.22449,0.3341401,4.470739,-0.67274
4.928571,0.700364,4.57236,-0.5874509
5.632653,0.9807358,4.644775,-0.338993
6.336735,1.057967,4.699691,-0.04621453
7.040816,0.9708741,4.760274,0.1687682
7.744898,0.8349216,4.82664,0.2935211
8.44898,0.6929846,4.903598,0.3306001
9.153061,0.5796048,4.97325,0.3453303
9.857143,0.4869939,5.037268,0.343588
10.56122,0.4118359,5.095974,0.3331396
11.26531,0.3506971,5.150035,0.3183369
11.96939,0.300454,5.200289,0.3015842
12.67347,0.258863,5.247211,0.2842676
13.37755,0.2239283,5.291552,0.2670223
14.08163,0.1950334,5.332482,0.2507359
14.78571,0.1731775,5.366896,0.2369748
15.4898,0.1489337,5.408432,0.2204426
16.19388,0.1309722,5.443459,0.2068297
16.89796,0.1155331,5.476618,0.1942195
17.60204,0.1022111,5.507802,0.1827426
18.30612,0.09045532,5.537496,0.1720172
19.0102,0.08062587,5.565743,0.1624123
19.71429,0.0718694,5.592705,0.1535375
20.41837,0.06418642,5.618208,0.1454088
21.12245,0.05744971,5.642189,0.1379022
21.82653,0.05204436,5.662812,0.1318262
22.53061,0.04623969,5.686986,0.1246969
23.23469,0.04147858,5.707347,0.1195002
23.93878,0.03696692,5.727087,0.1141631
24.64286,0.033561,5.745496,0.1099031
25.34694,0.03016007,5.762905,0.1060475
26.05102,0.02711512,5.779493,0.1020485
26.7551,0.02463522,5.794721,0.09901832
27.45918,0.02215626,5.809244,0.09622638
28.16327,0.01998151,5.822826,0.09338415
28.86735,0.01815969,5.835117,0.09128707
29.57143,0.01634185,5.846788,0.08936299
30.27551,0.01473714,5.857535,0.08742211
30.97959,0.01340133,5.867102,0.08605516
31.68367,0.01207733,5.875959,0.08485122
32.38776,0.01087244,5.884051,0.08362091
33.09184,0.009908102,5.891091,0.08282282
33.79592,0.008981639,5.897184,0.08217272
34.5,0.008126429,5.902823,0.0814998
