z,p,k,epsilon
0,-2.602138,0.511218,3.159472
0.7040816,-2.654252,0.9090105,0.4014111
1.408163,-2.688782,1.088543,0.4273391
2.112245,-2.71865,1.066953,0.4007069
2.816327,-2.777859,0.921193,0.3133801
3.520408,-2.920536,0.8981542,0.3265314
4.22449,-3.148926,1.071272,0.516254
4.928571,-3.336123,1.282112,0.7836836
5.632653,-3.376285,1.350621,0.8928001
6.336735,-3.268005,1.258539,0.7261351
7.040816,-2.968756,1.101654,0.3604298
7.744898,-2.660631,0.9963453,0.1746463
8.44898,-2.361759,0.893108,0.09689329
9.153061,-2.099947,0.7961518,0.05935208
9.857143,-1.874016,0.7148849,0.03958366
10.56122,-1.678953,0.6504997,0.02834772
11.26531,-1.509685,0.6005306,0.02157235
11.96939,-1.36146,0.5620383,0.01729597
12.67347,-1.231448,0.5323728,0.01444032
13.37755,-1.116573,0.509269,0.01243165
14.08163,-1.01627,0.4913655,0.01097411
14.78571,-0.9333411,0.4780535,0.009935715
15.4898,-0.8481786,0.4656517,0.008986055
16.19388,-0.7765378,0.4560271,0.008263758
16.89796,-0.7136636,0.4483082,0.007676792
17.60204,-0.6557982,0.4413989,0.007162383
18.30612,-0.6037543,0.4356197,0.006727269
19.0102,-0.5580749,0.430604,0.006351029
19.71429,-0.5153761,0.4260785,0.006017073
20.41837,-0.4768247,0.4220967,0.005721134
21.12245,-0.4420072,0.4184198,0.005453721
21.82653,-0.4161097,0.4156473,0.005253501
22.53061,-0.3804191,0.412235,0.005014528
23.23469,-0.3506792,0.409232,0.004804357
23.93878,-0.3221479,0.4063849,0.004611752
24.64286,-0.2992883,0.4038797,0.004446635
25.34694,-0.2770479,0.4015109,0.00429202
26.05102,-0.2559776,0.3992275,0.004149231
26.7551,-0.2372706,0.3971273,0.004020726
27.45918,-0.2192103,0.3951109,0.003898584
28.16327,-0.2017515,0.3931869,0.003786974
28.86735,-0.1859718,0.3914235,0.00368651
29.57143,-0.1707579,0.3897307,0.003591042
30.27551,-0.1560791,0.3881357,0.003504321
30.97959,-0.1426563,0.3866898,0.00342685
31.68367,-0.1294682,0.3853297,0.003354643
32.38776,-0.1167137,0.384059,0.003288847
33.09184,-0.10502,0.382929,0.003231095
33.79592,-0.09339217,0.3819278,0.003180165
34.5,-0.08265122,0.3809869,0.003132962
