z,p,k,epsilon
0,-0.05165492,0.5555398,3.579026
0.7040816,-0.03085507,0.7890467,0.3745744
1.408163,-0.04183312,0.8598758,0.258421
2.112245,-0.03057097,0.8293912,0.1818448
2.816327,-0.03167158,0.7713227,0.1295263
3.520408,-0.0542831,0.7109634,0.0922272
4.22449,-0.08621919,0.6596115,0.06619438
4.928571,-0.1397841,0.6209882,0.04963262
5.632653,-0.1462809,0.5904024,0.0386942
6.336735,-0.1645839,0.5652554,0.03128775
7.040816,-0.1818006,0.5440862,0.02601544
7.744898,-0.198558,0.5261138,0.02210671
8.44898,-0.214116,0.5107502,0.0191159
9.153061,-0.2271655,0.4974411,0.0167612
9.857143,-0.2375254,0.4860266,0.01488331
10.56122,-0.2448851,0.4762419,0.01336426
11.26531,-0.2491972,0.4677897,0.01211574
11.96939,-0.2507991,0.4604497,0.01107288
12.67347,-0.2502198,0.4540663,0.0101928
13.37755,-0.2475007,0.4484131,0.009435169
14.08163,-0.2433805,0.4435114,0.00879222
14.78571,-0.2388729,0.4395801,0.008286932
15.4898,-0.2313166,0.4351085,0.007728076
16.19388,-0.2239849,0.4315146,0.007287596
16.89796,-0.2169674,0.428249,0.006897694
17.60204,-0.2086325,0.4252186,0.006547827
18.30612,-0.2002667,0.4223666,0.0062299
19.0102,-0.191747,0.419725,0.005943075
19.71429,-0.1833982,0.4172166,0.005680222
20.41837,-0.1755128,0.4148413,0.005440522
21.12245,-0.167111,0.4125735,0.005222333
21.82653,-0.1597016,0.4105796,0.005036573
22.53061,-0.1515637,0.4083043,0.004834203
23.23469,-0.14269,0.4062651,0.004660957
23.93878,-0.1354831,0.404267,0.004495938
24.64286,-0.1279493,0.402402,0.004350303
25.34694,-0.1199612,0.400549,0.004210018
26.05102,-0.1140489,0.3987504,0.004078685
26.7551,-0.107049,0.3970611,0.003961973
27.45918,-0.09977312,0.3953881,0.003848612
28.16327,-0.09418144,0.3937766,0.003743554
28.86735,-0.08770945,0.3922868,0.003650775
29.57143,-0.08104575,0.3908208,0.003560792
30.27551,-0.07573871,0.3894215,0.003477644
30.97959,-0.06980545,0.3881641,0.003405469
31.68367,-0.06361686,0.3869487,0.003336661
32.38776,-0.05829826,0.3857932,0.00327264
33.09184,-0.05287031,0.3847962,0.00321876
33.79592,-0.04726961,0.3838799,0.003169868
34.5,-0.04223536,0.3829993,0.003123278
