z,p,k,epsilon
1.817076e-18,-0.6250102,0.4030315,2.211549
0.7040816,-0.6107731,0.4573622,0.1586346
1.408163,-0.6055919,0.5359879,0.1266298
2.112245,-0.5921427,0.5810003,0.1092974
2.816327,-0.5922204,0.6054578,0.09340199
3.520408,-0.6252248,0.6095227,0.07711276
4.22449,-0.6698563,0.5951168,0.06086296
4.928571,-0.7351999,0.5752245,0.04793649
5.632653,-0.7420919,0.5554612,0.03815879
6.336735,-0.7588369,0.5386649,0.03126152
7.040816,-0.7678946,0.5239563,0.02617937
7.744898,-0.7701029,0.5109043,0.02233388
8.44898,-0.7658235,0.4991895,0.01935078
9.153061,-0.7554194,0.4885596,0.01697904
9.857143,-0.7396812,0.4789772,0.0150705
10.56122,-0.7194927,0.4703896,0.01351663
11.26531,-0.6956571,0.4627139,0.01223438
11.96939,-0.66923,0.4558698,0.01116123
12.67347,-0.6411691,0.4497963,0.01025531
13.37755,-0.6116852,0.4443383,0.009476229
14.08163,-0.5823729,0.4395566,0.008816381
14.78571,-0.556057,0.4356989,0.008299001
15.4898,-0.5232859,0.4312972,0.007728304
16.19388,-0.4945918,0.4277407,0.007279784
16.89796,-0.4671894,0.4245124,0.006883778
17.60204,-0.4406878,0.4215216,0.006529637
18.30612,-0.4150704,0.4187132,0.006208505
19.0102,-0.3905361,0.416105,0.005919436
19.71429,-0.3673932,0.4136338,0.005655113
20.41837,-0.3453947,0.4112955,0.005414513
21.12245,-0.324196,0.4090663,0.005195863
21.82653,-0.3058205,0.407108,0.00500993
22.53061,-0.2869224,0.4049465,0.004814443
23.23469,-0.2689499,0.4029484,0.004641485
23.93878,-0.2504458,0.4009229,0.004470018
24.64286,-0.2353935,0.3991018,0.004325075
25.34694,-0.2200781,0.3972902,0.004185475
26.05102,-0.205578,0.3955318,0.004054924
26.7551,-0.1924923,0.3938868,0.003939186
27.45918,-0.1792988,0.3922557,0.003826715
28.16327,-0.1667723,0.3906903,0.003722669
28.86735,-0.1551914,0.3892476,0.003630949
29.57143,-0.1435953,0.3878259,0.003541927
30.27551,-0.1324698,0.3864767,0.003459865
30.97959,-0.1221518,0.3852668,0.003388741
31.68367,-0.1118427,0.3840956,0.003320859
32.38776,-0.1017137,0.3829898,0.003257847
33.09184,-0.09242723,0.3820381,0.003204935
33.79592,-0.08324616,0.3811618,0.003156837
34.5,-0.07416831,0.380324,0.00311108
