z,p,k,epsilon
3.634307e-18,-2.284625,1.529127,16.34407
0.7040816,-2.863918,0.9804025,0.4446747
1.408163,-3.12776,1.30674,0.5514965
2.112245,-3.101111,1.623941,0.7448088
2.816327,-3.141992,1.761146,0.9222535
3.520408,-3.321116,1.618145,0.7230073
4.22449,-3.285656,1.417544,0.4053261
4.928571,-3.137872,1.216337,0.2292762
5.632653,-2.84533,1.024453,0.1329523
6.336735,-2.586708,0.8825086,0.08316114
7.040816,-2.335579,0.774151,0.05556029
7.744898,-2.101931,0.6914246,0.0394118
8.44898,-1.887994,0.6278583,0.02940115
9.153061,-1.69614,0.5794016,0.0229815
9.857143,-1.525401,0.5426254,0.01869753
10.56122,-1.37464,0.5149408,0.01574629
11.26531,-1.240936,0.4939184,0.01362213
11.96939,-1.122525,0.4778143,0.01203461
12.67347,-1.017611,0.4653344,0.01081007
13.37755,-0.9239251,0.4554622,0.009832593
14.08163,-0.8427387,0.447685,0.009049104
14.78571,-0.7773534,0.441859,0.008452999
15.4898,-0.7024815,0.4358428,0.007828627
16.19388,-0.6441338,0.4313233,0.007350394
16.89796,-0.5919646,0.4273464,0.006930708
17.60204,-0.5450029,0.4238765,0.006561129
18.30612,-0.5012886,0.4207287,0.006230769
19.0102,-0.4632432,0.4178933,0.005935844
19.71429,-0.4284253,0.4152753,0.005669032
20.41837,-0.396524,0.4128113,0.005425328
21.12245,-0.366322,0.410512,0.005204311
21.82653,-0.3431532,0.4086923,0.005034011
22.53061,-0.317012,0.4063192,0.004819251
23.23469,-0.294587,0.4042357,0.004640547
23.93878,-0.2716902,0.4022457,0.004476419
24.64286,-0.2526064,0.4004008,0.004327649
25.34694,-0.2357266,0.3985839,0.00418807
26.05102,-0.2185611,0.3968479,0.004061264
26.7551,-0.2030716,0.3951839,0.003942146
27.45918,-0.1892133,0.3935511,0.003829584
28.16327,-0.1748671,0.392013,0.003728821
28.86735,-0.1616706,0.3905425,0.003633898
29.57143,-0.1498508,0.3891165,0.003544687
30.27551,-0.1375671,0.387798,0.003465603
30.97959,-0.1261193,0.3865484,0.00339132
31.68367,-0.1159624,0.3853697,0.003323192
32.38776,-0.1055023,0.3842996,0.003263017
33.09184,-0.09580547,0.3832956,0.003206893
33.79592,-0.08698426,0.3824122,0.003158578
34.5,-0.0783161,0.3816179,0.003115665
