z,p,k,epsilon
1.817799e-18,0.5310127,0.6697248,4.736546
0.7040816,0.5679909,0.5880551,0.1900957
1.408163,0.5870912,0.66695,0.1462343
2.112245,0.5901565,0.6544618,0.1062537
2.816327,0.5977044,0.6301127,0.07791365
3.520408,0.6509765,0.606814,0.05955789
4.22449,0.7262011,0.5868904,0.04720457
4.928571,0.7646904,0.5691982,0.03846729
5.632653,0.7767178,0.5530081,0.0320509
6.336735,0.7637092,0.5384214,0.02720644
7.040816,0.7308457,0.5254226,0.02346499
7.744898,0.6839589,0.5138031,0.02050896
8.44898,0.6287493,0.5033943,0.01813199
9.153061,0.5697404,0.4940469,0.01619108
9.857143,0.5101185,0.4856528,0.01458733
10.56122,0.4521082,0.4780781,0.01324533
11.26531,0.397505,0.471216,0.01210891
11.96939,0.347217,0.4650194,0.0111395
12.67347,0.3012878,0.4593891,0.01030351
13.37755,0.2594618,0.4542277,0.009573042
14.08163,0.2220586,0.4495572,0.008940567
14.78571,0.1899814,0.4455525,0.008419835
15.4898,0.1598334,0.4412613,0.007886055
16.19388,0.1344472,0.4375303,0.00744209
16.89796,0.1108366,0.434119,0.007045781
17.60204,0.09202746,0.4308113,0.006683021
18.30612,0.07440802,0.4277298,0.006354294
19.0102,0.05983744,0.424862,0.006061761
19.71429,0.04784327,0.4220697,0.005791363
20.41837,0.03605386,0.4194469,0.005543725
21.12245,0.02633332,0.4168973,0.005313943
21.82653,0.01924446,0.4146793,0.005122332
22.53061,0.01412669,0.4124015,0.004938632
23.23469,0.008609584,0.4100512,0.004751675
23.93878,0.002142057,0.4076551,0.004561554
24.64286,-0.0003396894,0.4055872,0.004414761
25.34694,-0.002562438,0.4035271,0.004269304
26.05102,-0.007112203,0.401535,0.004129615
26.7551,-0.007810303,0.3996817,0.004012156
27.45918,-0.008644571,0.3978304,0.003894738
28.16327,-0.01114163,0.3960473,0.003782999
28.86735,-0.0108399,0.3944302,0.003689792
29.57143,-0.01059248,0.3928137,0.003596594
30.27551,-0.01193893,0.3912477,0.003507072
30.97959,-0.01089252,0.3899065,0.003435729
31.68367,-0.009846118,0.3885652,0.003364386
32.38776,-0.01017141,0.3872478,0.003294409
33.09184,-0.008966014,0.3862066,0.003242163
33.79592,-0.007656223,0.3851903,0.003191314
34.5,-0.007249876,0.3841757,0.003140505
