z,U_0,U_1,U_2
1.817799e-18,-1.176165e-17,4.873729e-17,9.654973e-21
0.7040816,-0.3765544,2.703203,-0.04239687
1.408163,-0.3441738,3.184276,-0.09050652
2.112245,-0.3217937,3.531537,-0.1078881
2.816327,-0.3166757,3.786124,-0.09917497
3.520408,-0.3218651,3.932551,-0.09266457
4.22449,-0.307341,3.954825,-0.1207193
4.928571,-0.2510703,3.881836,-0.183332
5.632653,-0.1391866,3.860995,-0.267047
6.336735,0.02182003,4.079417,-0.3179977
7.040816,0.1754359,4.49217,-0.2800735
7.744898,0.2573307,4.813618,-0.1901773
8.44898,0.2785167,4.985496,-0.1116215
9.153061,0.2713421,5.087267,-0.05482061
9.857143,0.2522634,5.160007,-0.01418999
10.56122,0.2290247,5.218455,0.01495368
11.26531,0.2053225,5.268314,0.03587324
11.96939,0.1827034,5.312203,0.05095791
12.67347,0.1618734,5.351768,0.06165211
13.37755,0.1429789,5.388182,0.06907222
14.08163,0.1263497,5.42148,0.07398594
14.78571,0.1125792,5.450444,0.07685592
15.4898,0.09875187,5.481548,0.07858626
16.19388,0.08710016,5.509788,0.0788538
16.89796,0.07742057,5.536384,0.07893512
17.60204,0.06853653,5.561748,0.077918
18.30612,0.06091466,5.586168,0.07689694
19.0102,0.05445742,5.609246,0.07564806
19.71429,0.04859578,5.631453,0.07395904
20.41837,0.04360007,5.652728,0.07260395
21.12245,0.03902416,5.673129,0.07099731
21.82653,0.03542953,5.690884,0.06964849
22.53061,0.03213094,5.708638,0.06812037
23.23469,0.0288785,5.72697,0.06671559
23.93878,0.0256734,5.745634,0.06546723
24.64286,0.02349583,5.760945,0.06465158
25.34694,0.02111905,5.776229,0.06345283
26.05102,0.0189156,5.791078,0.06237128
26.7551,0.01731324,5.803856,0.06185162
27.45918,0.01557079,5.816711,0.06104493
28.16327,0.01398889,5.829009,0.06035979
28.86735,0.01282178,5.839314,0.06009202
29.57143,0.01155493,5.849685,0.05961977
30.27551,0.01038365,5.859646,0.05922149
30.97959,0.009564424,5.867455,0.05922422
31.68367,0.008661801,5.875322,0.05906177
32.38776,0.007790548,5.883021,0.05892507
33.09184,0.007245314,5.888544,0.05908241
33.79592,0.006641821,5.893941,0.05912388
34.5,0.006038329,5.899338,0.05916534
