z,p,k,epsilon
0,-2.468189,0.5662845,3.683227
0.7040816,-2.512743,0.7886352,0.3169626
1.408163,-2.548242,0.9205144,0.2961732
2.112245,-2.572622,0.9399178,0.2806037
2.816327,-2.698731,0.9006699,0.2572223
3.520408,-2.857352,0.8987574,0.2770558
4.22449,-3.015087,0.9813469,0.3716527
4.928571,-3.112407,1.110846,0.5144619
5.632653,-3.122048,1.204632,0.6312495
6.336735,-3.062027,1.185699,0.5991527
7.040816,-2.869339,1.05827,0.3708763
7.744898,-2.622982,0.9503327,0.1882283
8.44898,-2.380399,0.8670245,0.1060559
9.153061,-2.156183,0.7875493,0.06575209
9.857143,-1.953756,0.7158697,0.04386146
10.56122,-1.771739,0.6553715,0.03110623
11.26531,-1.608565,0.6064936,0.02337264
11.96939,-1.461614,0.5674306,0.01841088
12.67347,-1.329603,0.5366303,0.01512268
13.37755,-1.210402,0.512294,0.01284707
14.08163,-1.105138,0.4933286,0.01122837
14.78571,-1.021398,0.4796877,0.0101356
15.4898,-0.9236493,0.4656836,0.009054845
16.19388,-0.846046,0.4555541,0.008290101
16.89796,-0.7766427,0.4472362,0.007671771
17.60204,-0.7140212,0.4404068,0.007163387
18.30612,-0.6564836,0.4344522,0.006720453
19.0102,-0.6057057,0.4293021,0.006337507
19.71429,-0.5587124,0.4246965,0.005996637
20.41837,-0.5160973,0.4206402,0.005699125
21.12245,-0.4775015,0.4170409,0.005436488
21.82653,-0.4456923,0.4140364,0.00521945
22.53061,-0.407636,0.4106656,0.00498203
23.23469,-0.3767145,0.4078587,0.004785231
23.93878,-0.3460566,0.4050861,0.004596044
24.64286,-0.3212957,0.4026134,0.004431956
25.34694,-0.2966666,0.4002701,0.004277918
26.05102,-0.2735524,0.3980221,0.004135789
26.7551,-0.2535151,0.3959565,0.004008272
27.45918,-0.2334501,0.3939703,0.003886789
28.16327,-0.2145403,0.3920807,0.003775847
28.86735,-0.1977516,0.39035,0.003676296
29.57143,-0.1810045,0.3886884,0.003581514
30.27551,-0.1651849,0.3871237,0.003495337
30.97959,-0.1509632,0.3857074,0.003418659
31.68367,-0.1367045,0.3843753,0.00334706
32.38776,-0.1228223,0.3831309,0.003281705
33.09184,-0.1104222,0.3820267,0.00322463
33.79592,-0.09822415,0.3810468,0.003174168
34.5,-0.08640586,0.3801273,0.003127283
